,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF5,DecisionTreeClassifier,None,1,0.9923266648396821,0.9636363636363636,0.993961021136426,0.9541734860883797,0.9931431705979156,0.9588815789473684,3643.0,611.0,3621,28,583,22
1,DF5,DecisionTreeClassifier,None,2,0.996141124586549,0.9712460063897763,0.9950440528634361,0.977491961414791,0.9955922865013774,0.9743589743589743,3632.0,622.0,3614,14,608,18
2,DF5,DecisionTreeClassifier,None,3,0.9941876556877941,0.9656786271450858,0.993912562257886,0.9671875,0.9940500899405009,0.9664324746291959,3614.0,640.0,3592,21,619,22
3,DF5,DecisionTreeClassifier,None,4,0.9919734292831442,0.9594383775351014,0.992797783933518,0.9549689440993789,0.9923854354146476,0.9571984435797666,3610.0,644.0,3584,29,615,26
4,DF5,DecisionTreeClassifier,None,5,0.9939024390243902,0.958204334365325,0.9925269858843067,0.9656786271450858,0.9932142362553663,0.9619269619269619,3613.0,641.0,3586,22,619,27
5,DF5,DecisionTreeClassifier,None,6,0.9939041285674702,0.9596273291925466,0.9928037641848879,0.965625,0.9933536416505122,0.9626168224299064,3613.0,640.0,3587,22,618,26
6,DF5,DecisionTreeClassifier,None,7,0.993322203672788,0.9650986342943855,0.9935986640690231,0.9636363636363636,0.99346041463754,0.9643669446550417,3593.0,660.0,3570,24,636,23
7,DF5,DecisionTreeClassifier,None,8,0.993863319386332,0.9700598802395209,0.9944180854032934,0.9671641791044776,0.994140625,0.9686098654708519,3583.0,670.0,3563,22,648,20
8,DF5,DecisionTreeClassifier,None,9,0.9938684503901896,0.9624060150375939,0.9930381509328877,0.9667673716012085,0.9934531271764868,0.9645817633760362,3591.0,662.0,3566,22,640,25
9,DF5,DecisionTreeClassifier,None,10,0.9947397563676633,0.9719188767550702,0.9950152312378843,0.9704049844236761,0.9948774747334902,0.9711613406079501,3611.0,642.0,3593,19,623,18
10,DF5,DecisionTreeClassifier,SMOTE,1,0.9928747602082763,0.9669421487603306,0.9945100192149328,0.9574468085106383,0.9936917169500822,0.962171052631579,3643.0,611.0,3623,26,585,20
11,DF5,DecisionTreeClassifier,SMOTE,2,0.9969596462133775,0.960691823899371,0.9931167400881057,0.9823151125401929,0.9950344827586206,0.9713831478537361,3632.0,622.0,3607,11,611,25
12,DF5,DecisionTreeClassifier,SMOTE,3,0.9961154273029966,0.963076923076923,0.9933591588267847,0.978125,0.9947353837628151,0.9705426356589147,3614.0,640.0,3590,14,626,24
13,DF5,DecisionTreeClassifier,SMOTE,4,0.9938973647711512,0.9583975346687211,0.9925207756232687,0.9658385093167702,0.9932085932085932,0.9621036349574632,3610.0,644.0,3583,22,622,27
14,DF5,DecisionTreeClassifier,SMOTE,5,0.9955629506378258,0.9645061728395061,0.9936340990866316,0.9750390015600624,0.9945975896938635,0.969743987587277,3613.0,641.0,3590,16,625,23
15,DF5,DecisionTreeClassifier,SMOTE,6,0.9955715471907003,0.975,0.9955715471907003,0.975,0.9955715471907003,0.975,3613.0,640.0,3597,16,624,16
16,DF5,DecisionTreeClassifier,SMOTE,7,0.9936004451864218,0.9666160849772383,0.9938769830225438,0.9651515151515152,0.9937386948657297,0.9658832448824867,3593.0,660.0,3571,23,637,22
17,DF5,DecisionTreeClassifier,SMOTE,8,0.9955194623354803,0.9589442815249267,0.9921853195646106,0.9761194029850746,0.9938495946323735,0.9674556213017752,3583.0,670.0,3555,16,654,28
18,DF5,DecisionTreeClassifier,SMOTE,9,0.9936022253129346,0.9711246200607903,0.9947089947089947,0.9652567975830816,0.9941553019760646,0.9681818181818181,3591.0,662.0,3572,23,639,19
19,DF5,DecisionTreeClassifier,SMOTE,10,0.9947412122889565,0.9734375,0.9952921628357796,0.9704049844236761,0.9950166112956811,0.9719188767550703,3611.0,642.0,3594,19,623,17
20,DF5,DecisionTreeClassifier,Random Under Sampler,1,0.9952247191011236,0.8559077809798271,0.9725500960746637,0.972176759410802,0.9837567680133278,0.9103448275862068,3643.0,611.0,3543,17,594,100
21,DF5,DecisionTreeClassifier,Random Under Sampler,2,0.9972059234423023,0.9066666666666666,0.9826541850220264,0.9839228295819936,0.9898765774511165,0.943716268311488,3632.0,622.0,3569,10,612,63
22,DF5,DecisionTreeClassifier,Random Under Sampler,3,0.9968873797396718,0.8736111111111111,0.9748201438848921,0.9828125,0.9857302742025742,0.925,3614.0,640.0,3523,11,629,91
23,DF5,DecisionTreeClassifier,Random Under Sampler,4,0.9940828402366864,0.8836879432624114,0.9772853185595568,0.967391304347826,0.9856125157144853,0.9236471460340994,3610.0,644.0,3528,21,623,82
24,DF5,DecisionTreeClassifier,Random Under Sampler,5,0.9968803176403858,0.8653846153846154,0.972875726543039,0.982839313572543,0.9847317551477799,0.9203798392987583,3613.0,641.0,3515,11,630,98
25,DF5,DecisionTreeClassifier,Random Under Sampler,6,0.9960663107614498,0.9020172910662824,0.981179075560476,0.978125,0.9885666480758504,0.9385307346326837,3613.0,640.0,3545,14,626,68
26,DF5,DecisionTreeClassifier,Random Under Sampler,7,0.9957651044607566,0.9071729957805907,0.9816309490676315,0.9772727272727273,0.9886475122634898,0.9409190371991247,3593.0,660.0,3527,15,645,66
27,DF5,DecisionTreeClassifier,Random Under Sampler,8,0.9954597048808173,0.897119341563786,0.97906782026235,0.9761194029850746,0.9871957225270859,0.9349535382416012,3583.0,670.0,3508,16,654,75
28,DF5,DecisionTreeClassifier,Random Under Sampler,9,0.995166334944555,0.876358695652174,0.9746588693957114,0.974320241691843,0.9848058525604951,0.9227467811158798,3591.0,662.0,3500,17,645,91
29,DF5,DecisionTreeClassifier,Random Under Sampler,10,0.9969083754918494,0.9079136690647482,0.9822763777346996,0.9828660436137072,0.9895382898591157,0.9439042632759911,3611.0,642.0,3547,11,631,64
30,DF5,DecisionTreeClassifier,Random Under Sampler,1,0.9955081414935429,0.8598265895953757,0.9733735931924238,0.9738134206219312,0.9843164469118666,0.9132770529547198,3643.0,611.0,3546,16,595,97
31,DF5,DecisionTreeClassifier,Random Under Sampler,2,0.9969256567915036,0.9038461538461539,0.9821035242290749,0.9823151125401929,0.9894590846047157,0.9414483821263482,3632.0,622.0,3567,11,611,65
32,DF5,DecisionTreeClassifier,Random Under Sampler,3,0.996897913141568,0.8884180790960452,0.9781405644714998,0.9828125,0.9874301675977654,0.9332344213649852,3614.0,640.0,3535,11,629,79
33,DF5,DecisionTreeClassifier,Random Under Sampler,4,0.9937958262831359,0.8785310734463276,0.9761772853185595,0.9658385093167702,0.984907769703745,0.9201183431952663,3610.0,644.0,3524,22,622,86
34,DF5,DecisionTreeClassifier,Random Under Sampler,5,0.996600566572238,0.8687845303867403,0.9737060614447828,0.9812792511700468,0.9850202995940082,0.9216117216117216,3613.0,641.0,3518,12,629,95
35,DF5,DecisionTreeClassifier,Random Under Sampler,6,0.9966225724739657,0.8971428571428571,0.9800719623581511,0.98125,0.988277979346916,0.9373134328358209,3613.0,640.0,3541,12,628,72
36,DF5,DecisionTreeClassifier,Random Under Sampler,7,0.9957591178965225,0.9008379888268156,0.9802393543000278,0.9772727272727273,0.9879382889200561,0.9375,3593.0,660.0,3522,15,645,71
37,DF5,DecisionTreeClassifier,Random Under Sampler,8,0.9954622802041974,0.8995873452544704,0.9796260117220207,0.9761194029850746,0.9874806583204389,0.9362920544022905,3583.0,670.0,3510,16,654,73
38,DF5,DecisionTreeClassifier,Random Under Sampler,9,0.9954635667706266,0.8898071625344353,0.9777220829852409,0.9758308157099698,0.986513065467828,0.930835734870317,3591.0,662.0,3511,16,646,80
39,DF5,DecisionTreeClassifier,Random Under Sampler,10,0.9971910112359551,0.911976911976912,0.9831071725283855,0.9844236760124611,0.9900990099009902,0.9468164794007491,3611.0,642.0,3550,10,632,61
40,DF5,DecisionTreeClassifier,Random Over Sampler,1,0.9920591456736035,0.9667774086378738,0.9945100192149328,0.9525368248772504,0.9932830705962988,0.9596042868920034,3643.0,611.0,3623,29,582,20
41,DF5,DecisionTreeClassifier,Random Over Sampler,2,0.9958677685950413,0.9727564102564102,0.9953193832599119,0.9758842443729904,0.9955935004131093,0.9743178170144462,3632.0,622.0,3615,15,607,17
42,DF5,DecisionTreeClassifier,Random Over Sampler,3,0.9950276243093923,0.9810725552050473,0.9966795794133924,0.971875,0.9958529167818633,0.9764521193092622,3614.0,640.0,3602,18,622,12
43,DF5,DecisionTreeClassifier,Random Over Sampler,4,0.9933665008291874,0.9748427672955975,0.9955678670360111,0.9627329192546584,0.9944659656889873,0.9687499999999999,3610.0,644.0,3594,24,620,16
44,DF5,DecisionTreeClassifier,Random Over Sampler,5,0.9961251037918627,0.9781591263650546,0.9961251037918627,0.9781591263650546,0.9961251037918627,0.9781591263650546,3613.0,641.0,3599,14,627,14
45,DF5,DecisionTreeClassifier,Random Over Sampler,6,0.9952830188679245,0.9599383667180277,0.9928037641848879,0.9734375,0.9940418456422336,0.9666408068269976,3613.0,640.0,3587,17,623,26
46,DF5,DecisionTreeClassifier,Random Over Sampler,7,0.9952830188679245,0.9907550077041603,0.9983300862788755,0.9742424242424242,0.9968042239822147,0.9824293353705118,3593.0,660.0,3587,17,643,6
47,DF5,DecisionTreeClassifier,Random Over Sampler,8,0.9949874686716792,0.9848942598187311,0.9972090427016467,0.9731343283582089,0.9960970170058545,0.9789789789789789,3583.0,670.0,3573,18,652,10
