,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF7,Fast Text - Linear Regression,None,1,0.9271091811414393,0.9025720966484801,0.9896531744060922,0.551954242135367,0.9573607719101573,0.6850044365572315,12081.0,2098.0,11956,940,1158,125
1,DF7,Fast Text - Linear Regression,None,2,0.9296423551460253,0.89067055393586,0.987557030277893,0.575600565237871,0.9577249507260368,0.6992846924177397,12055.0,2123.0,11905,901,1222,150
2,DF7,Fast Text - Linear Regression,None,3,0.9257174134021424,0.9078473722102232,0.9893039191108883,0.5703301673450927,0.9564550008078849,0.7005555555555555,11967.0,2211.0,11839,950,1261,128
3,DF7,Fast Text - Linear Regression,None,1,0.9303764827230531,0.9069148936170213,0.9903925336261323,0.55810147299509,0.9594468820635553,0.690982776089159,3643.0,611.0,3608,270,341,35
4,DF7,Fast Text - Linear Regression,None,2,0.9313471502590673,0.9060913705583756,0.9898127753303965,0.5739549839228296,0.9596903363587828,0.7027559055118111,3632.0,622.0,3595,265,357,37
5,DF7,Fast Text - Linear Regression,None,3,0.927848429794965,0.9027431421446384,0.9892086330935251,0.565625,0.9575465381009776,0.6954851104707013,3614.0,640.0,3575,278,362,39
6,DF7,Fast Text - Linear Regression,None,4,0.9271023171049206,0.8813559322033898,0.9864265927977839,0.5652173913043478,0.9558448530398603,0.6887417218543046,3610.0,644.0,3561,280,364,49
7,DF7,Fast Text - Linear Regression,None,5,0.930080876597965,0.8859857482185273,0.9867146415721008,0.5819032761310452,0.9575611066344346,0.7024482109227871,3613.0,641.0,3565,268,373,48
8,DF7,Fast Text - Linear Regression,None,6,0.9336641420736485,0.910377358490566,0.9894824245779131,0.603125,0.9607632356893308,0.7255639097744362,3613.0,640.0,3575,254,386,38
9,DF7,Fast Text - Linear Regression,None,7,0.930835734870317,0.908256880733945,0.9888672418591706,0.6,0.958974358974359,0.7226277372262774,3593.0,660.0,3553,264,396,40
10,DF7,Fast Text - Linear Regression,None,8,0.9267973856209151,0.9112149532710281,0.9893943622662573,0.582089552238806,0.95707343412527,0.7103825136612022,3583.0,670.0,3545,280,390,38
11,DF7,Fast Text - Linear Regression,None,9,0.9274340903158445,0.909952606635071,0.9894179894179894,0.5800604229607251,0.9574238749663164,0.7084870848708487,3591.0,662.0,3553,278,384,38
12,DF7,Fast Text - Linear Regression,None,10,0.9275324675324675,0.9007444168734491,0.9889227360841872,0.5654205607476636,0.9572443372202118,0.6947368421052632,3611.0,642.0,3571,279,363,40
13,DF7,Fast Text - Linear Regression,Random Under Sampler,1,0.8740031897926634,0.8941176470588236,0.8968903436988543,0.8707037643207856,0.8852988691437803,0.8822553897180764,611.0,611.0,548,79,532,63
14,DF7,Fast Text - Linear Regression,Random Under Sampler,2,0.873015873015873,0.8827361563517915,0.8842443729903537,0.8713826366559485,0.878594249201278,0.8770226537216828,622.0,622.0,550,80,542,72
15,DF7,Fast Text - Linear Regression,Random Under Sampler,3,0.8575803981623277,0.8724082934609251,0.875,0.8546875,0.8662026295436969,0.8634569850039463,640.0,640.0,560,93,547,80
16,DF7,Fast Text - Linear Regression,Random Under Sampler,4,0.869431643625192,0.8775510204081632,0.8788819875776398,0.8680124223602484,0.8741312741312741,0.8727556596409055,644.0,644.0,566,85,559,78
17,DF7,Fast Text - Linear Regression,Random Under Sampler,5,0.8584474885844748,0.8768,0.8798751950078003,0.8549141965678627,0.8690292758089367,0.8657187993680885,641.0,641.0,564,93,548,77
18,DF7,Fast Text - Linear Regression,Random Under Sampler,6,0.883495145631068,0.8580060422960725,0.853125,0.8875,0.8680445151033387,0.8725038402457758,640.0,640.0,546,72,568,94
19,DF7,Fast Text - Linear Regression,Random Under Sampler,7,0.8717557251908397,0.8661654135338346,0.8651515151515151,0.8727272727272727,0.8684410646387831,0.8694339622641508,660.0,660.0,571,84,576,89
20,DF7,Fast Text - Linear Regression,Random Under Sampler,8,0.8656934306569343,0.8824427480916031,0.8850746268656716,0.8626865671641791,0.8752767527675276,0.8724528301886793,670.0,670.0,593,92,578,77
21,DF7,Fast Text - Linear Regression,Random Under Sampler,9,0.8626865671641791,0.8715596330275229,0.8731117824773413,0.8610271903323263,0.8678678678678678,0.8662613981762919,662.0,662.0,578,92,570,84
22,DF7,Fast Text - Linear Regression,Random Under Sampler,10,0.8601503759398497,0.8869143780290791,0.8909657320872274,0.8551401869158879,0.8752869166029075,0.8707375099127675,642.0,642.0,572,93,549,70
23,DF7,Fast Text - Linear Regression,Random Over Sampler,1,0.8764044943820225,0.8914858096828047,0.8936170212765957,0.8739770867430442,0.8849270664505673,0.8826446280991735,611.0,611.0,546,77,534,65
24,DF7,Fast Text - Linear Regression,Random Over Sampler,2,0.8829113924050633,0.8954248366013072,0.8971061093247589,0.8810289389067524,0.8899521531100479,0.8881685575364668,622.0,622.0,558,74,548,64
25,DF7,Fast Text - Linear Regression,Random Over Sampler,3,0.8623853211009175,0.8785942492012779,0.88125,0.859375,0.8717156105100464,0.8688783570300158,640.0,640.0,564,90,550,76
26,DF7,Fast Text - Linear Regression,Random Over Sampler,4,0.8794992175273866,0.8736517719568567,0.8726708074534162,0.8804347826086957,0.8760717069368666,0.8770301624129931,644.0,644.0,562,77,567,82
27,DF7,Fast Text - Linear Regression,Random Over Sampler,5,0.867579908675799,0.8864,0.8892355694227769,0.8642745709828393,0.8782742681047766,0.8751974723538705,641.0,641.0,570,87,554,71
28,DF7,Fast Text - Linear Regression,Random Over Sampler,6,0.8841269841269841,0.8723076923076923,0.8703125,0.8859375,0.8771653543307086,0.8790697674418605,640.0,640.0,557,73,567,83
29,DF7,Fast Text - Linear Regression,Random Over Sampler,7,0.8818181818181818,0.8818181818181818,0.8818181818181818,0.8818181818181818,0.8818181818181818,0.8818181818181818,660.0,660.0,582,78,582,78
30,DF7,Fast Text - Linear Regression,Random Over Sampler,8,0.869309838472834,0.881638846737481,0.8835820895522388,0.8671641791044776,0.8763878608438195,0.8743416102332581,670.0,670.0,592,89,581,78
31,DF7,Fast Text - Linear Regression,Random Over Sampler,9,0.8733031674208145,0.8744326777609682,0.8746223564954683,0.8731117824773413,0.8739622641509434,0.8737717309145879,662.0,662.0,579,84,578,83
32,DF7,Fast Text - Linear Regression,Random Over Sampler,10,0.8738601823708206,0.8929712460063898,0.8956386292834891,0.8707165109034268,0.8846153846153846,0.8817034700315457,642.0,642.0,575,83,559,67
33,DF7,Fast Text - Linear Regression,Random Over Sampler,1,0.8593996840442338,0.8862478777589134,0.8903436988543372,0.8543371522094927,0.8745980707395499,0.87,611.0,611.0,544,89,522,67
34,DF7,Fast Text - Linear Regression,Random Over Sampler,2,0.865414710485133,0.8859504132231405,0.8890675241157556,0.8617363344051447,0.8770816812053924,0.8736756316218419,622.0,622.0,553,86,536,69
35,DF7,Fast Text - Linear Regression,Random Over Sampler,3,0.8532526475037822,0.877221324717286,0.88125,0.8484375,0.8670253651037664,0.8625893566322479,640.0,640.0,564,97,543,76
36,DF7,Fast Text - Linear Regression,Random Over Sampler,4,0.8649068322981367,0.8649068322981367,0.8649068322981367,0.8649068322981367,0.8649068322981367,0.8649068322981367,644.0,644.0,557,87,557,87
37,DF7,Fast Text - Linear Regression,Random Over Sampler,5,0.8822605965463108,0.8775193798449612,0.8767550702028081,0.8829953198127926,0.8794992175273866,0.880248833592535,641.0,641.0,562,75,566,79
38,DF7,Fast Text - Linear Regression,Random Over Sampler,6,0.8853503184713376,0.8711656441717791,0.86875,0.8875,0.8769716088328076,0.8792569659442724,640.0,640.0,556,72,568,84
39,DF7,Fast Text - Linear Regression,Random Over Sampler,7,0.8830769230769231,0.8716417910447761,0.8696969696969697,0.8848484848484849,0.8763358778625954,0.8781954887218045,660.0,660.0,574,76,584,86
40,DF7,Fast Text - Linear Regression,Random Over Sampler,8,0.8722466960352423,0.8846737481031867,0.8865671641791045,0.8701492537313433,0.8793486306439674,0.8773513920240784,670.0,670.0,594,87,583,76
41,DF7,Fast Text - Linear Regression,Random Over Sampler,9,0.875945537065053,0.8748114630467572,0.8746223564954683,0.8761329305135952,0.8752834467120181,0.8754716981132076,662.0,662.0,579,82,580,83
