,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF8,Fast Text - Linear Regression,None,1,0.966542750929368,0.9938524590163934,0.9991765028822399,0.7937806873977087,0.9825887434201647,0.8826205641492265,3643.0,611.0,3640,126,485,3
1,DF8,Fast Text - Linear Regression,None,2,0.9708478202728003,0.996116504854369,0.9994493392070485,0.8247588424437299,0.9849409849409849,0.9023746701846966,3632.0,622.0,3630,109,513,2
2,DF8,Fast Text - Linear Regression,None,3,0.9655172413793104,0.9961013645224172,0.9994465965688988,0.7984375,0.9821889870836167,0.8863833477883781,3614.0,640.0,3612,129,511,2
3,DF8,Fast Text - Linear Regression,None,4,0.9646964428991709,0.9941747572815534,0.9991689750692521,0.7950310559006211,0.9816301537624166,0.8835202761000862,3610.0,644.0,3607,132,512,3
4,DF8,Fast Text - Linear Regression,None,5,0.9688423314531291,0.9887005649717514,0.9983393301965126,0.8190327613104524,0.983369683751363,0.8959044368600684,3613.0,641.0,3607,116,525,6
5,DF8,Fast Text - Linear Regression,None,6,0.9751284130846175,0.9891696750902527,0.9983393301965126,0.85625,0.986597374179431,0.9179229480737018,3613.0,640.0,3607,92,548,6
6,DF8,Fast Text - Linear Regression,None,7,0.9658234660925726,0.9925512104283054,0.9988867241859171,0.8075757575757576,0.9820768915036256,0.8905597326649958,3593.0,660.0,3589,127,533,4
7,DF8,Fast Text - Linear Regression,None,8,0.9649312112220124,0.989010989010989,0.998325425620988,0.8059701492537313,0.9813443072702331,0.888157894736842,3583.0,670.0,3577,130,540,6
8,DF8,Fast Text - Linear Regression,None,9,0.964247311827957,0.9924953095684803,0.998886104149262,0.7990936555891238,0.9812611133907811,0.8853556485355648,3591.0,662.0,3587,133,529,4
9,DF8,Fast Text - Linear Regression,None,10,0.9698843775208389,0.9925093632958801,0.9988922736084187,0.8255451713395638,0.9841746248294679,0.901360544217687,3611.0,642.0,3607,112,530,4
10,DF8,Fast Text - Linear Regression,Random Under Sampler,1,0.9170506912442397,0.9754816112084063,0.9770867430441899,0.911620294599018,0.9461172741679874,0.9424703891708968,611.0,611.0,597,54,557,14
11,DF8,Fast Text - Linear Regression,Random Under Sampler,2,0.9416282642089093,0.984822934232715,0.9855305466237942,0.9389067524115756,0.9630793401413983,0.9613168724279837,622.0,622.0,613,38,584,9
12,DF8,Fast Text - Linear Regression,Random Under Sampler,3,0.9454545454545454,0.9741935483870968,0.975,0.94375,0.96,0.9587301587301588,640.0,640.0,624,36,604,16
13,DF8,Fast Text - Linear Regression,Random Under Sampler,4,0.9181286549707602,0.9735099337748344,0.9751552795031055,0.9130434782608695,0.9457831325301205,0.9423076923076922,644.0,644.0,628,56,588,16
14,DF8,Fast Text - Linear Regression,Random Under Sampler,5,0.943683409436834,0.9664,0.9672386895475819,0.9422776911076443,0.9553158705701077,0.9541864139020536,641.0,641.0,620,37,604,21
15,DF8,Fast Text - Linear Regression,Random Under Sampler,6,0.9303703703703704,0.9801652892561984,0.98125,0.9265625,0.9551330798479087,0.9526104417670683,640.0,640.0,628,47,593,12
16,DF8,Fast Text - Linear Regression,Random Under Sampler,7,0.9276410998552822,0.9697933227344993,0.9712121212121212,0.9242424242424242,0.9489267209474463,0.9464701318851823,660.0,660.0,641,50,610,19
17,DF8,Fast Text - Linear Regression,Random Under Sampler,8,0.9300998573466477,0.971830985915493,0.9731343283582089,0.926865671641791,0.9511305616338438,0.9488158899923607,670.0,670.0,652,49,621,18
18,DF8,Fast Text - Linear Regression,Random Under Sampler,9,0.9171428571428571,0.967948717948718,0.9697885196374623,0.9123867069486404,0.9427312775330395,0.9393468118195957,662.0,662.0,642,58,604,20
19,DF8,Fast Text - Linear Regression,Random Under Sampler,10,0.9385307346326837,0.9740680713128039,0.9750778816199377,0.9361370716510904,0.9564553093964858,0.95472597299444,642.0,642.0,626,41,601,16
20,DF8,Fast Text - Linear Regression,Random Over Sampler,1,0.9204368174726989,0.963855421686747,0.9656301145662848,0.9165302782324058,0.9424920127795527,0.9395973154362416,611.0,611.0,590,51,560,21
