,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF2,Fast Text - train_supervised,None,1,0.9406441309555497,0.7806841046277666,0.9700796047213834,0.6350245499181669,0.955135135135135,0.7003610108303249,3643.0,611.0,3534,223,388,109
1,DF2,Fast Text - train_supervised,None,2,0.941239602897773,0.7647058823529411,0.9658590308370044,0.6479099678456591,0.9533904063052044,0.70147954743255,3632.0,622.0,3508,219,403,124
2,DF2,Fast Text - train_supervised,None,3,0.9366818060379375,0.7886497064579256,0.9701162147205312,0.6296875,0.9531058855511758,0.7002606429192006,3614.0,640.0,3506,237,403,108
3,DF2,Fast Text - train_supervised,None,4,0.9383414108777598,0.7685185185185185,0.9653739612188366,0.6444099378881988,0.9516657564172584,0.7010135135135136,3610.0,644.0,3485,229,415,125
4,DF2,Fast Text - train_supervised,None,5,0.9430191736429921,0.7803992740471869,0.9665098256296706,0.6708268330733229,0.9546200109349371,0.721476510067114,3613.0,641.0,3492,211,430,121
5,DF2,Fast Text - train_supervised,None,6,0.9469431726366819,0.8203703703703704,0.9731525048436203,0.6921875,0.9598689598689599,0.7508474576271187,3613.0,640.0,3516,197,443,97
6,DF2,Fast Text - train_supervised,None,7,0.9399245689655172,0.8077634011090573,0.9710548288338435,0.6621212121212121,0.9552361396303901,0.7277268942547878,3593.0,660.0,3489,223,437,104
7,DF2,Fast Text - train_supervised,None,8,0.938255033557047,0.8333333333333334,0.9754395757744907,0.6567164179104478,0.9564860426929392,0.7345575959933223,3583.0,670.0,3495,230,440,88
8,DF2,Fast Text - train_supervised,None,9,0.9440369464819343,0.7972027972027972,0.9676970203285993,0.6888217522658611,0.9557205720572057,0.7390599675850892,3591.0,662.0,3475,206,456,116
9,DF2,Fast Text - train_supervised,None,10,0.9314194577352473,0.7820773930753564,0.9703683190252008,0.5981308411214953,0.9504950495049506,0.6778464254192409,3611.0,642.0,3504,258,384,107
10,DF2,Fast Text - train_supervised,Random Under Sampler,1,0.9778317643486183,0.5598335067637877,0.8838869063958276,0.8805237315875614,0.9284890426758938,0.6844783715012723,3643.0,611.0,3220,73,538,423
11,DF2,Fast Text - train_supervised,Random Under Sampler,2,0.9825728770595691,0.5163934426229508,0.8537995594713657,0.9115755627009646,0.9136711844431349,0.6593023255813953,3632.0,622.0,3101,55,567,531
12,DF2,Fast Text - train_supervised,Random Under Sampler,3,0.9752475247524752,0.547945205479452,0.872163807415606,0.875,0.9208296815658779,0.6738868832731648,3614.0,640.0,3152,80,560,462
13,DF2,Fast Text - train_supervised,Random Under Sampler,4,0.9781921618204804,0.5275229357798165,0.8573407202216067,0.8928571428571429,0.9137880129908473,0.6632064590542098,3610.0,644.0,3095,69,575,515
14,DF2,Fast Text - train_supervised,Random Under Sampler,5,0.9771231588843623,0.5343367826904986,0.8629947412122889,0.8861154446177847,0.916519694297472,0.6666666666666666,3613.0,641.0,3118,73,568,495
15,DF2,Fast Text - train_supervised,Random Under Sampler,6,0.9781576448243114,0.5219378427787934,0.8552449487960144,0.8921875,0.9125812167749557,0.6585928489042676,3613.0,640.0,3090,69,571,523
16,DF2,Fast Text - train_supervised,Random Under Sampler,7,0.9738643434971997,0.5543792107795957,0.8711383245198998,0.8727272727272727,0.9196415454679008,0.678045909358446,3593.0,660.0,3130,84,576,463
17,DF2,Fast Text - train_supervised,Random Under Sampler,8,0.976577139287945,0.566127497621313,0.872732347195088,0.8880597014925373,0.9217391304347827,0.6914584543869842,3583.0,670.0,3127,75,595,456
18,DF2,Fast Text - train_supervised,Random Under Sampler,9,0.9839434810533076,0.5373134328358209,0.8532442216652742,0.9244712990936556,0.913944817300522,0.6796224319822322,3591.0,662.0,3064,50,612,527
19,DF2,Fast Text - train_supervised,Random Under Sampler,10,0.9738139248305607,0.5531281032770605,0.875380780947106,0.867601246105919,0.921977541198775,0.6755609460278956,3611.0,642.0,3161,85,557,450
20,DF2,Fast Text - train_supervised,Random Over Sampler,1,0.9413489736070382,0.7773359840954275,0.9692561076036234,0.6399345335515548,0.9550987286989451,0.7019748653500897,3643.0,611.0,3531,220,391,112
21,DF2,Fast Text - train_supervised,Random Over Sampler,2,0.9415549597855228,0.7709923664122137,0.9669603524229075,0.6495176848874598,0.954088562890519,0.7050610820244326,3632.0,622.0,3512,218,404,120
22,DF2,Fast Text - train_supervised,Random Over Sampler,3,0.939930276213462,0.7923809523809524,0.9698395130049806,0.65,0.9546506877298107,0.7141630901287555,3614.0,640.0,3505,224,416,109
23,DF2,Fast Text - train_supervised,Random Over Sampler,4,0.9438110749185668,0.7666666666666667,0.9631578947368421,0.6785714285714286,0.9533863449410473,0.7199341021416803,3610.0,644.0,3477,207,437,133
24,DF2,Fast Text - train_supervised,Random Over Sampler,5,0.9434523809523809,0.7741935483870968,0.9651259341267645,0.6739469578783152,0.9541660965932413,0.7206005004170142,3613.0,641.0,3487,209,432,126
25,DF2,Fast Text - train_supervised,Random Over Sampler,6,0.9466019417475728,0.8110091743119267,0.9714918350401328,0.690625,0.958885398169649,0.7459915611814346,3613.0,640.0,3510,198,442,103
26,DF2,Fast Text - train_supervised,Random Over Sampler,7,0.9451385116784357,0.8021015761821366,0.968549958252157,0.693939393939394,0.956701030927835,0.7441104792851342,3593.0,660.0,3480,202,458,113
27,DF2,Fast Text - train_supervised,Random Over Sampler,8,0.9403991370010788,0.8238532110091743,0.973206809935808,0.6701492537313433,0.9565217391304349,0.7390946502057613,3583.0,670.0,3487,221,449,96
28,DF2,Fast Text - train_supervised,Random Over Sampler,9,0.9411764705882353,0.7890070921985816,0.9668615984405458,0.6722054380664653,0.9538461538461539,0.7259380097879283,3591.0,662.0,3472,217,445,119
29,DF2,Fast Text - train_supervised,Random Over Sampler,10,0.9329965434724807,0.7926829268292683,0.9717529770146773,0.6074766355140186,0.9519804666304937,0.6878306878306878,3611.0,642.0,3509,252,390,102
