,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF5,LGBMClassifier,None,1,0.9961717254580257,1.0,1.0,0.9770867430441899,0.9980821917808219,0.9884105960264901,3643.0,611.0,3643,14,597,0
1,DF5,LGBMClassifier,None,2,0.9978021978021978,1.0,1.0,0.9871382636655949,0.9988998899889989,0.9935275080906149,3632.0,622.0,3632,8,614,0
2,DF5,LGBMClassifier,None,3,0.9980668323667495,1.0,1.0,0.9890625,0.9990324809951625,0.9945011783189316,3614.0,640.0,3614,7,633,0
3,DF5,LGBMClassifier,None,4,0.9964118134142975,1.0,1.0,0.9798136645962733,0.9982026821512513,0.9898039215686275,3610.0,644.0,3610,13,631,0
4,DF5,LGBMClassifier,None,5,0.9966896551724138,1.0,1.0,0.9812792511700468,0.9983420834484664,0.9905511811023622,3613.0,641.0,3613,12,629,0
5,DF5,LGBMClassifier,None,6,0.9977906655619995,1.0,1.0,0.9875,0.9988941111418302,0.9937106918238994,3613.0,640.0,3613,8,632,0
6,DF5,LGBMClassifier,None,7,0.9966712898751734,1.0,1.0,0.9818181818181818,0.9983328702417339,0.9908256880733944,3593.0,660.0,3593,12,648,0
7,DF5,LGBMClassifier,None,8,0.996661101836394,0.9984825493171472,0.9997209042701647,0.982089552238806,0.9981886582137384,0.9902182091798345,3583.0,670.0,3582,12,658,1
8,DF5,LGBMClassifier,None,1,0.9961717254580257,1.0,1.0,0.9770867430441899,0.9980821917808219,0.9884105960264901,3643.0,611.0,3643,14,597,0
9,DF5,LGBMClassifier,None,2,0.9978021978021978,1.0,1.0,0.9871382636655949,0.9988998899889989,0.9935275080906149,3632.0,622.0,3632,8,614,0
10,DF5,LGBMClassifier,None,3,0.9980668323667495,1.0,1.0,0.9890625,0.9990324809951625,0.9945011783189316,3614.0,640.0,3614,7,633,0
11,DF5,LGBMClassifier,None,4,0.9964118134142975,1.0,1.0,0.9798136645962733,0.9982026821512513,0.9898039215686275,3610.0,644.0,3610,13,631,0
12,DF5,LGBMClassifier,None,5,0.9966896551724138,1.0,1.0,0.9812792511700468,0.9983420834484664,0.9905511811023622,3613.0,641.0,3613,12,629,0
13,DF5,LGBMClassifier,None,6,0.9977906655619995,1.0,1.0,0.9875,0.9988941111418302,0.9937106918238994,3613.0,640.0,3613,8,632,0
14,DF5,LGBMClassifier,None,7,0.9966712898751734,1.0,1.0,0.9818181818181818,0.9983328702417339,0.9908256880733944,3593.0,660.0,3593,12,648,0
15,DF5,LGBMClassifier,None,8,0.996661101836394,0.9984825493171472,0.9997209042701647,0.982089552238806,0.9981886582137384,0.9902182091798345,3583.0,670.0,3582,12,658,1
16,DF5,LGBMClassifier,None,9,0.996116504854369,1.0,1.0,0.9788519637462235,0.9980544747081712,0.9893129770992367,3591.0,662.0,3591,14,648,0
17,DF5,LGBMClassifier,None,10,0.9977888336097291,0.9984251968503937,0.9997230684021047,0.9875389408099688,0.9987550145248305,0.9929522317932654,3611.0,642.0,3610,8,634,1
18,DF5,LGBMClassifier,SMOTE,1,0.9961717254580257,1.0,1.0,0.9770867430441899,0.9980821917808219,0.9884105960264901,3643.0,611.0,3643,14,597,0
19,DF5,LGBMClassifier,SMOTE,2,0.9978021978021978,1.0,1.0,0.9871382636655949,0.9988998899889989,0.9935275080906149,3632.0,622.0,3632,8,614,0
20,DF5,LGBMClassifier,SMOTE,3,0.9980668323667495,1.0,1.0,0.9890625,0.9990324809951625,0.9945011783189316,3614.0,640.0,3614,7,633,0
21,DF5,LGBMClassifier,SMOTE,4,0.9964118134142975,1.0,1.0,0.9798136645962733,0.9982026821512513,0.9898039215686275,3610.0,644.0,3610,13,631,0
22,DF5,LGBMClassifier,SMOTE,5,0.9966896551724138,1.0,1.0,0.9812792511700468,0.9983420834484664,0.9905511811023622,3613.0,641.0,3613,12,629,0
23,DF5,LGBMClassifier,SMOTE,6,0.9977906655619995,1.0,1.0,0.9875,0.9988941111418302,0.9937106918238994,3613.0,640.0,3613,8,632,0
24,DF5,LGBMClassifier,SMOTE,7,0.9966712898751734,1.0,1.0,0.9818181818181818,0.9983328702417339,0.9908256880733944,3593.0,660.0,3593,12,648,0
25,DF5,LGBMClassifier,SMOTE,8,0.996661101836394,0.9984825493171472,0.9997209042701647,0.982089552238806,0.9981886582137384,0.9902182091798345,3583.0,670.0,3582,12,658,1
26,DF5,LGBMClassifier,SMOTE,9,0.996116504854369,1.0,1.0,0.9788519637462235,0.9980544747081712,0.9893129770992367,3591.0,662.0,3591,14,648,0
27,DF5,LGBMClassifier,SMOTE,10,0.9977888336097291,0.9984251968503937,0.9997230684021047,0.9875389408099688,0.9987550145248305,0.9929522317932654,3611.0,642.0,3610,8,634,1
