,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF5,Linear Regression,None,1,0.9407656492498707,0.9845360824742269,0.9983530057644798,0.6252045826513911,0.9687042216007459,0.7647647647647646,3643.0,611.0,3637,229,382,6
1,DF5,Linear Regression,None,2,0.9367741935483871,0.9947229551451188,0.9994493392070485,0.6061093247588425,0.9670973757826029,0.7532467532467532,3632.0,622.0,3630,245,377,2
2,DF5,Linear Regression,None,3,0.9304123711340206,0.9893048128342246,0.9988931931377975,0.578125,0.9634374165999467,0.7297830374753451,3614.0,640.0,3610,270,370,4
3,DF5,Linear Regression,None,4,0.9356512714063311,0.99,0.9988919667590028,0.6149068322981367,0.9662379421221866,0.7586206896551725,3610.0,644.0,3606,248,396,4
4,DF5,Linear Regression,None,5,0.9459459459459459,0.981941309255079,0.9977857735953501,0.6786271450858035,0.9711745689655172,0.8025830258302583,3613.0,641.0,3605,206,435,8
5,DF5,Linear Regression,None,6,0.9389293139293139,1.0,1.0,0.6328125,0.9685028816512531,0.7751196172248804,3613.0,640.0,3613,235,405,0
6,DF5,Linear Regression,None,7,0.9365700861393892,0.9881516587677726,0.9986084052323964,0.6318181818181818,0.966594827586207,0.7707948243992607,3593.0,660.0,3588,243,417,5
7,DF5,Linear Regression,None,8,0.9360921948664223,0.9793103448275862,0.997488138431482,0.6358208955223881,0.9658154303472504,0.7710407239819004,3583.0,670.0,3574,244,426,9
8,DF5,Linear Regression,None,9,0.9340802501302762,0.9855421686746988,0.9983291562238931,0.6178247734138973,0.965136626733073,0.7595171773444753,3591.0,662.0,3585,253,409,6
9,DF5,Linear Regression,None,10,0.9400729546638874,0.9927710843373494,0.999169205206314,0.6417445482866043,0.9687206336420996,0.7795648060548723,3611.0,642.0,3608,230,412,3
10,DF5,Linear Regression,SMOTE,1,0.9837003145553331,0.7318361955085865,0.9442766950315674,0.9067103109656302,0.9635854341736695,0.8099415204678362,3643.0,611.0,3440,57,554,203
11,DF5,Linear Regression,SMOTE,2,0.9834710743801653,0.7570469798657719,0.9501651982378855,0.9067524115755627,0.9665312981375159,0.8251645940014632,3632.0,622.0,3451,58,564,181
12,DF5,Linear Regression,SMOTE,3,0.9804934021801491,0.7447916666666666,0.9457664637520753,0.89375,0.9628169014084506,0.8124999999999999,3614.0,640.0,3418,68,572,196
13,DF5,Linear Regression,SMOTE,4,0.9813379270743612,0.7509727626459144,0.9468144044321329,0.8990683229813664,0.963767094318342,0.818374558303887,3610.0,644.0,3418,65,579,192
14,DF5,Linear Regression,SMOTE,5,0.9846643518518519,0.7368421052631579,0.9418765568779408,0.9173166926677067,0.9627953034375442,0.817234190410007,3613.0,641.0,3403,53,588,210
15,DF5,Linear Regression,SMOTE,6,0.9798792756539235,0.7364341085271318,0.9435372266814281,0.890625,0.9613649182177101,0.8062234794908062,3613.0,640.0,3409,70,570,204
16,DF5,Linear Regression,SMOTE,7,0.9808917197452229,0.7434292866082604,0.9429446145282494,0.9,0.9615439193983256,0.8142563399588759,3593.0,660.0,3388,66,594,205
17,DF5,Linear Regression,SMOTE,8,0.9802841403305306,0.7487562189054726,0.9436226625732627,0.8985074626865671,0.9616040955631399,0.8168249660786973,3583.0,670.0,3381,68,602,202
18,DF5,Linear Regression,SMOTE,9,0.9803978091669069,0.7576530612244898,0.9470899470899471,0.8972809667673716,0.963456090651558,0.8215767634854773,3591.0,662.0,3401,68,594,190
19,DF5,Linear Regression,SMOTE,10,0.9826839826839827,0.7385786802030457,0.9429520908335641,0.9065420560747663,0.962408140192199,0.813986013986014,3611.0,642.0,3405,60,582,206
20,DF5,Linear Regression,Random Under Sampler,1,0.9889791183294664,0.7109181141439206,0.9360417238539666,0.9378068739770867,0.9617825412494713,0.8087508821453776,3643.0,611.0,3410,38,573,233
21,DF5,Linear Regression,Random Under Sampler,2,0.988950276243094,0.7165644171779141,0.936398678414097,0.9389067524115756,0.9619572903408288,0.8128044537230341,3632.0,622.0,3401,38,584,231
22,DF5,Linear Regression,Random Under Sampler,3,0.9855072463768116,0.7338308457711443,0.9407858328721638,0.921875,0.9626274065685164,0.817174515235457,3614.0,640.0,3400,50,590,214
23,DF5,Linear Regression,Random Under Sampler,4,0.9900671925211803,0.7340553549939831,0.938781163434903,0.9472049689440993,0.9637423574576994,0.8271186440677966,3610.0,644.0,3389,34,610,221
24,DF5,Linear Regression,Random Under Sampler,5,0.9893836626363904,0.7010428736964078,0.9285911984500416,0.9438377535101404,0.9580239862935466,0.8045212765957448,3613.0,641.0,3355,36,605,258
25,DF5,Linear Regression,Random Under Sampler,6,0.9912459877443829,0.738498789346247,0.9402158870744534,0.953125,0.9650568181818182,0.8321964529331515,3613.0,640.0,3397,30,610,216
26,DF5,Linear Regression,Random Under Sampler,7,0.9903197418597829,0.7428909952606635,0.9396047870860006,0.95,0.9642959154527279,0.8337765957446809,3593.0,660.0,3376,33,627,217
27,DF5,Linear Regression,Random Under Sampler,8,0.9882387533078506,0.7394366197183099,0.938040747976556,0.9402985074626866,0.9624856815578465,0.8278580814717479,3583.0,670.0,3361,40,630,222
28,DF5,Linear Regression,Random Under Sampler,9,0.9849468713105076,0.7063583815028902,0.9292676134781398,0.9229607250755287,0.9562974638200316,0.8002619515389653,3591.0,662.0,3337,51,611,254
29,DF5,Linear Regression,Random Under Sampler,10,0.9876215738284704,0.6976744186046512,0.9279977845472168,0.9345794392523364,0.956881781838949,0.7989347536617842,3611.0,642.0,3351,42,600,260
30,DF5,Linear Regression,Random Over Sampler,1,0.9889470622454916,0.7022058823529411,0.9332967334614329,0.9378068739770867,0.9603163395000707,0.8030833917309039,3643.0,611.0,3400,38,573,243
31,DF5,Linear Regression,Random Over Sampler,2,0.9878225572629747,0.7204968944099379,0.9380506607929515,0.932475884244373,0.9622934613755119,0.8128941836019622,3632.0,622.0,3407,42,580,225
32,DF5,Linear Regression,Random Over Sampler,3,0.9862813776999416,0.716183574879227,0.9349750968456004,0.9265625,0.9599431818181817,0.8079019073569481,3614.0,640.0,3379,47,593,235
33,DF5,Linear Regression,Random Over Sampler,4,0.9877085162423178,0.7192353643966547,0.9349030470914127,0.9347826086956522,0.96058061761776,0.8129642133693451,3610.0,644.0,3375,42,602,235
34,DF5,Linear Regression,Random Over Sampler,5,0.9903112155020551,0.7169811320754716,0.9335732078605037,0.9485179407176287,0.9611055705941016,0.8166554734721289,3613.0,641.0,3373,33,608,240
35,DF5,Linear Regression,Random Over Sampler,6,0.9885898186073727,0.7197604790419162,0.9352338776639911,0.9390625,0.9611719527805433,0.8149152542372882,3613.0,640.0,3379,39,601,234
36,DF5,Linear Regression,Random Over Sampler,7,0.990279823269514,0.7307692307692307,0.9357083217367103,0.95,0.9622209502003436,0.8260869565217392,3593.0,660.0,3362,33,627,231
37,DF5,Linear Regression,Random Over Sampler,8,0.9873380447585395,0.7316219369894983,0.9358079821378733,0.935820895522388,0.9608826479438315,0.8212180746561886,3583.0,670.0,3353,43,627,230
38,DF5,Linear Regression,Random Over Sampler,9,0.9852767962308598,0.7141190198366394,0.9317738791423001,0.9244712990936556,0.9577787319307284,0.8057932850559579,3591.0,662.0,3346,50,612,245
39,DF5,Linear Regression,Random Over Sampler,10,0.9879730126136697,0.7120853080568721,0.9327056217114372,0.9361370716510904,0.9595441595441596,0.8088829071332436,3611.0,642.0,3368,41,601,243
