,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF5,Logistic Regression,None,1,0.9794650094569035,0.9674502712477396,0.9950590172934395,0.8756137479541735,0.9872004357298475,0.9192439862542956,3643.0,611.0,3625,76,535,18
1,DF5,Logistic Regression,None,2,0.9778018408229562,0.9642857142857143,0.9944933920704846,0.8681672025723473,0.986076986076986,0.9137055837563453,3632.0,622.0,3612,82,540,20
2,DF5,Logistic Regression,None,3,0.9806222707423581,0.964406779661017,0.9941892639734367,0.8890625,0.9873591646056609,0.9252032520325202,3614.0,640.0,3593,71,569,21
3,DF5,Logistic Regression,None,4,0.9830554796392457,0.9781512605042016,0.996398891966759,0.9037267080745341,0.9896822121337185,0.9394673123486683,3610.0,644.0,3597,62,582,13
4,DF5,Logistic Regression,None,5,0.9822161422708618,0.9616026711185309,0.9936340990866316,0.8985959438377535,0.9878921298844249,0.9290322580645161,3613.0,641.0,3590,65,576,23
5,DF5,Logistic Regression,None,6,0.9808376676704079,0.95,0.991696650982563,0.890625,0.9862372694742637,0.9193548387096774,3613.0,640.0,3583,70,570,30
6,DF5,Logistic Regression,None,7,0.9783383602961339,0.9587458745874587,0.9930420261619817,0.8803030303030303,0.9856353591160221,0.9178515007898894,3593.0,660.0,3568,79,581,25
7,DF5,Logistic Regression,None,8,0.9786418400876232,0.9850249584026622,0.997488138431482,0.8835820895522388,0.9879751209398757,0.9315499606608969,3583.0,670.0,3574,78,592,9
8,DF5,Logistic Regression,None,9,0.9812981298129813,0.9627228525121556,0.9935950988582567,0.8972809667673716,0.9874083298740832,0.9288506645817044,3591.0,662.0,3568,68,594,23
9,DF5,Logistic Regression,None,10,0.9814106068890104,0.9647058823529412,0.9941844364441983,0.8940809968847352,0.9877562250653459,0.9280517380759904,3611.0,642.0,3590,68,574,21
10,DF5,Logistic Regression,SMOTE,1,0.9873695771554091,0.923202614379085,0.987098545155092,0.9247135842880524,0.9872340425531915,0.9239574816026165,3643.0,611.0,3596,46,565,47
11,DF5,Logistic Regression,SMOTE,2,0.9884931506849315,0.9602649006622517,0.9933920704845814,0.932475884244373,0.9909365558912385,0.9461663947797717,3632.0,622.0,3608,42,580,24
12,DF5,Logistic Regression,SMOTE,3,0.9889258028792912,0.9345794392523364,0.9883785279468733,0.9375,0.9886520896761694,0.9360374414976598,3614.0,640.0,3572,40,600,42
13,DF5,Logistic Regression,SMOTE,4,0.9878150096926059,0.9331259720062208,0.9880886426592798,0.9316770186335404,0.9879518072289156,0.9324009324009324,3610.0,644.0,3567,44,600,43
14,DF5,Logistic Regression,SMOTE,5,0.9908052382279187,0.9142857142857143,0.9842236368668696,0.9485179407176287,0.987503471257984,0.9310872894333844,3613.0,641.0,3556,33,608,57
15,DF5,Logistic Regression,SMOTE,6,0.9914079822616408,0.9441860465116279,0.9900359811790755,0.9515625,0.9907215067165213,0.9478599221789883,3613.0,640.0,3577,31,609,36
16,DF5,Logistic Regression,SMOTE,7,0.9896590273896031,0.922962962962963,0.9855274144169218,0.943939393939394,0.9875888997350438,0.9333333333333333,3593.0,660.0,3541,37,623,52
17,DF5,Logistic Regression,SMOTE,8,0.9910439406661069,0.9382352941176471,0.988277979346916,0.9522388059701492,0.9896590273896032,0.9451851851851851,3583.0,670.0,3541,32,638,42
18,DF5,Logistic Regression,SMOTE,9,0.989103101424979,0.9243323442136498,0.985797827903091,0.9410876132930514,0.9874476987447699,0.9326347305389221,3591.0,662.0,3540,39,623,51
