,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF5,RandomForestClassifier,None,1,0.9891363389462249,0.9982517482517482,0.9997255009607466,0.9345335515548282,0.9944027303754266,0.9653423499577346,3643.0,611.0,3642,40,571,1
1,DF5,RandomForestClassifier,None,2,0.9937072503419973,1.0,1.0,0.9630225080385852,0.9968436942500343,0.9811629811629812,3632.0,622.0,3632,23,599,0
2,DF5,RandomForestClassifier,None,3,0.9923119165293794,1.0,1.0,0.95625,0.996141124586549,0.9776357827476039,3614.0,640.0,3614,28,612,0
3,DF5,RandomForestClassifier,None,4,0.9912136188907194,1.0,1.0,0.9503105590062112,0.9955874241588528,0.9745222929936307,3610.0,644.0,3610,32,612,0
4,DF5,RandomForestClassifier,None,5,0.9925803792250618,0.9983739837398374,0.9997232216994187,0.9578783151326054,0.9961389961389961,0.9777070063694268,3613.0,641.0,3612,27,614,1
5,DF5,RandomForestClassifier,None,6,0.9931280923584387,1.0,1.0,0.9609375,0.9965521996965936,0.9800796812749004,3613.0,640.0,3613,25,615,0
6,DF5,RandomForestClassifier,None,7,0.9903528114663727,1.0,1.0,0.946969696969697,0.9951530258966902,0.9727626459143969,3593.0,660.0,3593,35,625,0
7,DF5,RandomForestClassifier,None,8,0.9919712070874862,1.0,1.0,0.9567164179104478,0.9959694232105629,0.9778794813119757,3583.0,670.0,3583,29,641,0
8,DF5,RandomForestClassifier,None,9,0.9908915263593707,0.9984126984126984,0.9997215260373155,0.9501510574018127,0.9952869420571111,0.9736842105263158,3591.0,662.0,3590,33,629,1
9,DF5,RandomForestClassifier,None,10,0.9925783397471138,1.0,1.0,0.9579439252336449,0.9962753483239067,0.9785202863961814,3611.0,642.0,3611,27,615,0
10,DF5,RandomForestClassifier,SMOTE,1,0.9921002451648052,0.9982847341337907,0.9997255009607466,0.9525368248772504,0.9958982772764561,0.9748743718592965,3643.0,611.0,3642,29,582,1
11,DF5,RandomForestClassifier,SMOTE,2,0.9928903472791906,0.998324958123953,0.9997246696035242,0.9581993569131833,0.9962957881739607,0.9778506972928629,3632.0,622.0,3631,26,596,1
12,DF5,RandomForestClassifier,SMOTE,3,0.9931299807639461,1.0,1.0,0.9609375,0.9965531504205156,0.9800796812749004,3614.0,640.0,3614,25,615,0
13,DF5,RandomForestClassifier,SMOTE,4,0.9912136188907194,1.0,1.0,0.9503105590062112,0.9955874241588528,0.9745222929936307,3610.0,644.0,3610,32,612,0
14,DF5,RandomForestClassifier,SMOTE,5,0.9936743674367436,1.0,1.0,0.9641185647425897,0.9968271485722169,0.9817315329626688,3613.0,641.0,3613,23,618,0
15,DF5,RandomForestClassifier,SMOTE,6,0.9939460649422125,0.9983844911147012,0.9997232216994187,0.965625,0.9968262729405272,0.9817315329626688,3613.0,640.0,3612,22,618,1
16,DF5,RandomForestClassifier,SMOTE,7,0.9914459161147903,1.0,1.0,0.953030303030303,0.9957045863932381,0.9759503491078355,3593.0,660.0,3593,31,629,0
17,DF5,RandomForestClassifier,SMOTE,8,0.991696650982563,1.0,1.0,0.9552238805970149,0.9958310172317953,0.9770992366412213,3583.0,670.0,3583,30,640,0
18,DF5,RandomForestClassifier,SMOTE,9,0.9917127071823204,0.9984202211690363,0.9997215260373155,0.9546827794561934,0.9957010123422548,0.976061776061776,3591.0,662.0,3590,30,632,1
19,DF5,RandomForestClassifier,SMOTE,10,0.994216469292206,0.9983922829581994,0.9997230684021047,0.9672897196261683,0.9969621651477493,0.9825949367088609,3611.0,642.0,3610,21,621,1
20,DF5,RandomForestClassifier,Random Under Sampler,1,0.9937141295435912,0.9882352941176471,0.9980785067252265,0.9623567921440261,0.9958915365653246,0.9751243781094527,3643.0,611.0,3636,23,588,7
21,DF5,RandomForestClassifier,Random Under Sampler,2,0.9964197190856513,0.9775280898876404,0.9961453744493393,0.9790996784565916,0.9962825278810409,0.9783132530120482,3632.0,622.0,3618,13,609,14
22,DF5,RandomForestClassifier,Random Under Sampler,3,0.9950331125827815,0.9873015873015873,0.9977863862755949,0.971875,0.9964078474716773,0.9795275590551181,3614.0,640.0,3606,18,622,8
23,DF5,RandomForestClassifier,Random Under Sampler,4,0.9928335170893055,0.987220447284345,0.9977839335180055,0.9596273291925466,0.9953025697706549,0.9732283464566928,3610.0,644.0,3602,26,618,8
24,DF5,RandomForestClassifier,Random Under Sampler,5,0.9955837703560585,0.9904912836767037,0.9983393301965126,0.9750390015600624,0.9969596462133775,0.9827044025157233,3613.0,641.0,3607,16,625,6
25,DF5,RandomForestClassifier,Random Under Sampler,6,0.9942052980132451,0.9841017488076311,0.9972322169941876,0.9671875,0.9957164570954816,0.975571315996848,3613.0,640.0,3603,21,619,10
26,DF5,RandomForestClassifier,Random Under Sampler,7,0.994447529150472,0.9831029185867896,0.9969384915112719,0.9696969696969697,0.9956914523974982,0.9763539282990085,3593.0,660.0,3582,20,640,11
27,DF5,RandomForestClassifier,Random Under Sampler,8,0.9938871908863574,0.9908256880733946,0.998325425620988,0.9671641791044776,0.9961013645224172,0.9788519637462235,3583.0,670.0,3577,22,648,6
28,DF5,RandomForestClassifier,Random Under Sampler,9,0.9933351846709247,0.9785276073619632,0.9961013645224172,0.9637462235649547,0.9947163515016685,0.9710806697108066,3591.0,662.0,3577,24,638,14
29,DF5,RandomForestClassifier,Random Under Sampler,10,0.995575221238938,0.9827315541601256,0.9969537524231514,0.9750778816199377,0.9962640099626401,0.9788897576231431,3611.0,642.0,3600,16,626,11
30,DF5,RandomForestClassifier,Random Over Sampler,1,0.9921002451648052,0.9982847341337907,0.9997255009607466,0.9525368248772504,0.9958982772764561,0.9748743718592965,3643.0,611.0,3642,29,582,1
31,DF5,RandomForestClassifier,Random Over Sampler,2,0.9947959463160778,1.0,1.0,0.9694533762057878,0.9973911849512563,0.9844897959183674,3632.0,622.0,3632,19,603,0
32,DF5,RandomForestClassifier,Random Over Sampler,3,0.9944964226747386,1.0,1.0,0.96875,0.9972406181015453,0.9841269841269841,3614.0,640.0,3614,20,620,0
33,DF5,RandomForestClassifier,Random Over Sampler,4,0.9909415317046391,1.0,1.0,0.9487577639751553,0.9954501585550807,0.9737051792828686,3610.0,644.0,3610,33,611,0
34,DF5,RandomForestClassifier,Random Over Sampler,5,0.9955910719206393,1.0,1.0,0.9750390015600624,0.9977906655619995,0.9873617693522906,3613.0,641.0,3613,16,625,0
35,DF5,RandomForestClassifier,Random Over Sampler,6,0.9944949077897055,1.0,1.0,0.96875,0.9972398564725365,0.9841269841269841,3613.0,640.0,3613,20,620,0
36,DF5,RandomForestClassifier,Random Over Sampler,7,0.9936376210235132,0.9984326018808778,0.9997216810464793,0.9651515151515152,0.9966703662597115,0.9815100154083205,3593.0,660.0,3592,23,637,1
37,DF5,RandomForestClassifier,Random Over Sampler,8,0.9914198726819817,0.9984375,0.9997209042701647,0.9537313432835821,0.9955530850472485,0.9755725190839695,3583.0,670.0,3582,31,639,1
38,DF5,RandomForestClassifier,Random Over Sampler,9,0.9930843706777317,0.9984326018808778,0.9997215260373155,0.9622356495468278,0.9963918956425201,0.9800000000000001,3591.0,662.0,3590,25,637,1
39,DF5,RandomForestClassifier,Random Over Sampler,10,0.9931243124312431,1.0,1.0,0.9610591900311527,0.996550296674486,0.9801429706115965,3611.0,642.0,3611,25,617,0
40,DF5,RandomForestClassifier,SMOTEENN,1,0.991557734204793,0.9965635738831615,0.9994510019214933,0.9492635024549918,0.9954887218045113,0.972338642078793,3643.0,611.0,3641,31,580,2
41,DF5,RandomForestClassifier,SMOTEENN,2,0.9945190463140586,0.9950413223140496,0.9991740088105727,0.9678456591639871,0.9968410932564208,0.9812550937245315,3632.0,622.0,3629,20,602,3
42,DF5,RandomForestClassifier,SMOTEENN,3,0.9944918755163866,0.9951845906902087,0.9991698948533481,0.96875,0.996825396825397,0.9817893903404592,3614.0,640.0,3611,20,620,3
43,DF5,RandomForestClassifier,SMOTEENN,4,0.9931205283434232,0.9983870967741936,0.9997229916897507,0.9611801242236024,0.9964108227498619,0.9794303797468354,3610.0,644.0,3609,25,619,1
44,DF5,RandomForestClassifier,SMOTEENN,5,0.9939460649422125,0.9983870967741936,0.9997232216994187,0.9656786271450858,0.9968262729405272,0.9817605075337034,3613.0,641.0,3612,22,619,1
45,DF5,RandomForestClassifier,SMOTEENN,6,0.9942180616740088,0.9967793880837359,0.9994464433988375,0.9671875,0.9968253968253967,0.9817605075337034,3613.0,640.0,3611,21,619,2
46,DF5,RandomForestClassifier,SMOTEENN,7,0.993088194636439,0.9984276729559748,0.9997216810464793,0.9621212121212122,0.9963938973647711,0.9799382716049383,3593.0,660.0,3592,25,635,1
47,DF5,RandomForestClassifier,SMOTEENN,8,0.9930671103716029,0.9969088098918083,0.9994418085403294,0.9626865671641791,0.9962442620670469,0.9794988610478359,3583.0,670.0,3581,25,645,2
48,DF5,RandomForestClassifier,SMOTEENN,9,0.9922587779928117,0.9968553459119497,0.999443052074631,0.9577039274924471,0.9958379578246394,0.9768875192604006,3591.0,662.0,3589,28,634,2
49,DF5,RandomForestClassifier,SMOTEENN,10,0.9947600661886377,0.9936204146730463,0.9988922736084187,0.9704049844236761,0.996821887522454,0.9818754925137906,3611.0,642.0,3607,19,623,4
50,DF5,RandomForestClassifier,SMOTETomek,1,0.9907508161044614,0.9982698961937716,0.9997255009607466,0.9443535188216039,0.9952179259461675,0.9705634987384355,3643.0,611.0,3642,34,577,1
51,DF5,RandomForestClassifier,SMOTETomek,2,0.9931637954607602,1.0,1.0,0.9598070739549839,0.9965701742351488,0.9794913863822805,3632.0,622.0,3632,25,597,0
52,DF5,RandomForestClassifier,SMOTETomek,3,0.994222833562586,1.0,1.0,0.9671875,0.9971030486963719,0.983320095313741,3614.0,640.0,3614,21,619,0
53,DF5,RandomForestClassifier,SMOTETomek,4,0.9920307776861775,1.0,1.0,0.9549689440993789,0.9959994481997517,0.976965845909452,3610.0,644.0,3610,29,615,0
54,DF5,RandomForestClassifier,SMOTETomek,5,0.9942196531791907,0.998389694041868,0.9997232216994187,0.9672386895475819,0.9969638421197902,0.9825673534072901,3613.0,641.0,3612,21,620,1
55,DF5,RandomForestClassifier,SMOTETomek,6,0.9923076923076923,0.99836867862969,0.9997232216994187,0.95625,0.9960016544877982,0.9768555466879489,3613.0,640.0,3612,28,612,1
56,DF5,RandomForestClassifier,SMOTETomek,7,0.9911724137931035,1.0,1.0,0.9515151515151515,0.9955666389581602,0.9751552795031055,3593.0,660.0,3593,32,628,0
57,DF5,RandomForestClassifier,SMOTETomek,8,0.992245915258931,1.0,1.0,0.9582089552238806,0.9961078676675007,0.9786585365853658,3583.0,670.0,3583,28,642,0
58,DF5,RandomForestClassifier,SMOTETomek,9,0.9928097345132744,0.9984301412872841,0.9997215260373155,0.9607250755287009,0.9962536422922159,0.9792147806004619,3591.0,662.0,3590,26,636,1
59,DF5,RandomForestClassifier,SMOTETomek,10,0.9942180616740088,1.0,1.0,0.9672897196261683,0.9971006489023885,0.983372921615202,3611.0,642.0,3611,21,621,0
