,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF5,SVC,None,1,0.853198907000848,1.0,1.0,0.013299556681443952,0.9207850315232865,0.02625,18110.0,3158.0,18110,3116,42,0
1,DF5,SVC,None,2,0.8471679457601582,1.0,1.0,0.00855222968845449,0.9172614192495921,0.01695941853422168,17993.0,3274.0,17993,3246,28,0
2,DF5,SVC,None,1,0.8658493036543269,1.0,1.0,0.08596918085969181,0.9281020733652313,0.15832710978342046,7274.0,1233.0,7274,1127,106,0
3,DF5,SVC,None,2,0.8581610833927299,1.0,1.0,0.06936866718628215,0.9236670502493287,0.12973760932944606,7224.0,1283.0,7224,1194,89,0
4,DF5,SVC,None,3,0.8586879011171856,1.0,1.0,0.07254290171606864,0.9239721209796024,0.13527272727272727,7225.0,1282.0,7225,1189,93,0
5,DF5,SVC,None,4,0.8544047619047619,1.0,1.0,0.08045112781954887,0.9214868074725557,0.14892136395267921,7177.0,1330.0,7177,1223,107,0
6,DF5,SVC,None,5,0.8590339892665474,1.0,1.0,0.09355828220858896,0.924172440338722,0.17110799438990182,7203.0,1304.0,7203,1182,122,0
7,DF5,SVC,SMOTE,1,0.9744749124854143,0.6408237431859479,0.918476766565851,0.8580697485806975,0.9456475583864119,0.7337031900138696,7274.0,1233.0,6681,175,1058,593
8,DF5,SVC,SMOTE,2,0.9690164866401364,0.7239972807613868,0.9437984496124031,0.8300857365549493,0.9562412342215988,0.7734204793028321,7224.0,1283.0,6818,218,1065,406
9,DF5,SVC,SMOTE,3,0.9760908547519426,0.6181818181818182,0.904083044982699,0.875195007800312,0.9387080548968887,0.7245721666128512,7225.0,1282.0,6532,160,1122,693
10,DF5,SVC,Random Under Sampler,1,0.9663093415007658,0.2374727668845316,0.5196266813066154,0.8919803600654664,0.6758300606926099,0.3750860289057123,3643.0,611.0,1893,66,545,1750
11,DF5,SVC,Random Under Sampler,2,0.9708065314200891,0.25212718316166594,0.5401982378854625,0.905144694533762,0.6941447019281798,0.3943957968476357,3632.0,622.0,1962,59,563,1670
12,DF5,SVC,Random Under Sampler,3,0.9678714859437751,0.2546419098143236,0.533480907581627,0.9,0.6878344630752765,0.39696760854583046,3614.0,640.0,1928,64,576,1686
13,DF5,SVC,Random Under Sampler,4,0.9694388777555111,0.258193091231178,0.53601108033241,0.90527950310559,0.6903317873706742,0.4017918676774638,3610.0,644.0,1935,61,583,1675
14,DF5,SVC,Random Under Sampler,5,0.9685404847859721,0.2505399568034557,0.5197896484915583,0.9048361934477379,0.6765129682997119,0.3924221921515561,3613.0,641.0,1878,61,580,1735
15,DF5,SVC,Random Under Sampler,6,0.968609865470852,0.25690115761353516,0.5380570163299198,0.9015625,0.691814946619217,0.39986139986139985,3613.0,640.0,1944,63,577,1669
16,DF5,SVC,Random Under Sampler,7,0.9713731198447355,0.27417883211678834,0.557194544948511,0.9106060606060606,0.7081712062256809,0.4214586255259467,3593.0,660.0,2002,59,601,1591
17,DF5,SVC,Random Under Sampler,8,0.9671361502347418,0.2826189354686764,0.574937203460787,0.8955223880597015,0.7211622615088396,0.4296455424274973,3583.0,670.0,2060,70,600,1523
18,DF5,SVC,Random Under Sampler,9,0.9668367346938775,0.26035761011774966,0.5277081592871067,0.9018126888217523,0.682759863087732,0.4040609137055837,3591.0,662.0,1895,65,597,1696
19,DF5,SVC,Random Under Sampler,10,0.9707842132239877,0.25412684622067766,0.5245084464137358,0.9112149532710281,0.6810499820208558,0.39741847826086957,3611.0,642.0,1894,57,585,1717
20,DF5,SVC,Random Over Sampler,1,0.9675324675324676,0.6966292134831461,0.9407082075212737,0.8117839607201309,0.9539318023660404,0.7498110355253212,3643.0,611.0,3427,115,496,216
21,DF5,SVC,Random Over Sampler,2,0.9747087240693378,0.7251700680272108,0.9443832599118943,0.8569131832797428,0.9593063907145853,0.7855563743551953,3632.0,622.0,3430,89,533,202
22,DF5,SVC,SMOTEENN,1,0.9779065555957986,0.2838419405320814,0.5959607107383291,0.9224411951684679,0.740588356305287,0.43410620792819743,9061.0,1573.0,5400,122,1451,3661
23,DF5,SVC,SMOTEENN,2,0.9778689987506692,0.29039952295766247,0.6054812686484694,0.9217665615141956,0.7478842478842478,0.44165659008464325,9049.0,1585.0,5479,124,1461,3570
24,DF5,SVC,SMOTEENN,3,0.9819070019902297,0.29919718034070886,0.6025982678214523,0.9385749385749386,0.7468519920181655,0.4537490720118783,9006.0,1628.0,5427,100,1528,3579
25,DF5,SVC,SMOTEENN,4,0.9783119465028014,0.2992156862745098,0.602314454211639,0.9270959902794653,0.7455922865013774,0.4524162466646902,8987.0,1646.0,5413,120,1526,3574
26,DF5,SVC,SMOTETomek,1,0.9739294561755338,0.6267964765878535,0.9111577088621565,0.859504132231405,0.9414984604858023,0.7249329758713137,9061.0,1573.0,8256,221,1352,805
27,DF5,SVC,SMOTETomek,2,0.976141949406546,0.6044483209768862,0.8997679301580285,0.8744479495268139,0.9364002300172513,0.7148014440433214,9049.0,1585.0,8142,199,1386,907
28,DF5,SVC,SMOTETomek,3,0.9743099533994504,0.623841059602649,0.905396402398401,0.8679361179361179,0.938589928057554,0.725918314924223,9006.0,1628.0,8154,215,1413,852
29,DF5,SVC,SMOTETomek,4,0.9746540957511939,0.583536090835361,0.8857238233003227,0.8742405832320778,0.9280634254401307,0.6999027237354086,8987.0,1646.0,7960,207,1439,1027
