,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF7,Word2Vec - Linear Regression,None,1,0.9227214377406932,0.8635097493036211,0.9865495470765853,0.5073649754500819,0.9535685858317856,0.6391752577319587,3643.0,611.0,3594,301,310,49
1,DF7,Word2Vec - Linear Regression,None,2,0.9212820512820513,0.8898305084745762,0.989262114537445,0.5064308681672026,0.9540626659585768,0.6454918032786886,3632.0,622.0,3593,307,315,39
2,DF7,Word2Vec - Linear Regression,None,3,0.9207411219763253,0.9021739130434783,0.9900387382401771,0.51875,0.9541333333333334,0.6587301587301587,3614.0,640.0,3578,308,332,36
3,DF7,Word2Vec - Linear Regression,None,4,0.9225589225589226,0.8778625954198473,0.9867036011080332,0.5357142857142857,0.9535537411323786,0.6653809064609449,3610.0,644.0,3562,299,345,48
4,DF7,Word2Vec - Linear Regression,None,5,0.9242110708742887,0.8969072164948454,0.9889288679767506,0.5429017160686428,0.9554753309265944,0.6763848396501458,3613.0,641.0,3573,293,348,40
5,DF7,Word2Vec - Linear Regression,None,6,0.9277546777546778,0.8938271604938272,0.988098533075007,0.565625,0.9569762766385204,0.6928229665071771,3613.0,640.0,3570,278,362,43
6,DF7,Word2Vec - Linear Regression,None,7,0.9133777549974372,0.9173789173789174,0.9919287503478987,0.48787878787878786,0.9510340226817879,0.6369930761622157,3593.0,660.0,3564,338,322,29
7,DF7,Word2Vec - Linear Regression,None,8,0.9176561693340217,0.9261213720316622,0.9921853195646106,0.5238805970149254,0.9534665415046266,0.6692087702573879,3583.0,670.0,3555,319,351,28
8,DF7,Word2Vec - Linear Regression,None,9,0.9124872057318322,0.927536231884058,0.9930381509328877,0.48338368580060426,0.9510601413521802,0.6355511420059583,3591.0,662.0,3566,342,320,25
9,DF7,Word2Vec - Linear Regression,None,10,0.9174782162993337,0.9116809116809117,0.991415120465245,0.4984423676012461,0.9530147743910554,0.6445115810674723,3611.0,642.0,3580,322,320,31
10,DF7,Word2Vec - Linear Regression,Random Under Sampler,1,0.8625,0.8986254295532646,0.9034369885433715,0.855973813420622,0.882494004796163,0.8767812238055323,611.0,611.0,552,88,523,59
11,DF7,Word2Vec - Linear Regression,Random Under Sampler,2,0.853030303030303,0.898972602739726,0.905144694533762,0.8440514469453376,0.8783151326053042,0.8706467661691543,622.0,622.0,563,97,525,59
12,DF7,Word2Vec - Linear Regression,Random Under Sampler,3,0.8217391304347826,0.8762711864406779,0.8859375,0.8078125,0.8526315789473685,0.8406504065040651,640.0,640.0,567,123,517,73
13,DF7,Word2Vec - Linear Regression,Random Under Sampler,4,0.8441176470588235,0.8848684210526315,0.8913043478260869,0.8354037267080745,0.8670694864048338,0.8594249201277955,644.0,644.0,574,106,538,70
14,DF7,Word2Vec - Linear Regression,Random Under Sampler,5,0.8533333333333334,0.8929159802306426,0.8985959438377535,0.8455538221528861,0.8753799392097263,0.8685897435897436,641.0,641.0,576,99,542,65
15,DF7,Word2Vec - Linear Regression,Random Under Sampler,6,0.8532934131736527,0.8856209150326797,0.890625,0.846875,0.8715596330275229,0.865814696485623,640.0,640.0,570,98,542,70
16,DF7,Word2Vec - Linear Regression,Random Under Sampler,7,0.8548850574712644,0.8958333333333334,0.9015151515151515,0.8469696969696969,0.8775811209439529,0.8707165109034268,660.0,660.0,595,101,559,65
17,DF7,Word2Vec - Linear Regression,Random Under Sampler,8,0.8619718309859155,0.9079365079365079,0.9134328358208955,0.8537313432835821,0.8869565217391304,0.8800000000000001,670.0,670.0,612,98,572,58
18,DF7,Word2Vec - Linear Regression,Random Under Sampler,9,0.8583941605839416,0.8841940532081377,0.8882175226586103,0.8534743202416919,0.8730512249443207,0.8685626441199079,662.0,662.0,588,97,565,74
19,DF7,Word2Vec - Linear Regression,Random Under Sampler,10,0.8347457627118644,0.9114583333333334,0.9205607476635514,0.8177570093457944,0.8755555555555556,0.8620689655172415,642.0,642.0,591,117,525,51
20,DF7,Word2Vec - Linear Regression,Random Over Sampler,1,0.8694267515923567,0.8905723905723906,0.8936170212765957,0.8657937806873978,0.8813559322033897,0.8780082987551867,611.0,611.0,546,82,529,65
21,DF7,Word2Vec - Linear Regression,Random Over Sampler,2,0.8543543543543544,0.9083044982698962,0.9147909967845659,0.8440514469453376,0.8835403726708075,0.8750000000000001,622.0,622.0,569,97,525,53
22,DF7,Word2Vec - Linear Regression,Random Over Sampler,3,0.8348082595870207,0.8770764119601329,0.884375,0.825,0.858877086494689,0.8502415458937198,640.0,640.0,566,112,528,74
23,DF7,Word2Vec - Linear Regression,Random Over Sampler,4,0.8487518355359766,0.8912685337726524,0.8975155279503105,0.8400621118012422,0.8724528301886793,0.864908073541167,644.0,644.0,578,103,541,66
24,DF7,Word2Vec - Linear Regression,Random Over Sampler,5,0.8410404624277457,0.9,0.9079563182527302,0.828393135725429,0.873218304576144,0.8627132412672623,641.0,641.0,582,110,531,59
25,DF7,Word2Vec - Linear Regression,Random Over Sampler,6,0.861236802413273,0.8881685575364667,0.8921875,0.85625,0.876438986953185,0.8719172633253778,640.0,640.0,571,92,548,69
26,DF7,Word2Vec - Linear Regression,Random Over Sampler,7,0.8571428571428571,0.8947368421052632,0.9,0.85,0.8780487804878048,0.8717948717948718,660.0,660.0,594,99,561,66
27,DF7,Word2Vec - Linear Regression,Random Over Sampler,8,0.8677918424753868,0.9157392686804452,0.9208955223880597,0.8597014925373134,0.8935553946415641,0.8868360277136258,670.0,670.0,617,94,576,53
28,DF7,Word2Vec - Linear Regression,Random Over Sampler,9,0.8509406657018813,0.8830963665086888,0.8882175226586103,0.8444108761329305,0.869179600886918,0.8633204633204633,662.0,662.0,588,103,559,74
29,DF7,Word2Vec - Linear Regression,Random Over Sampler,10,0.8203342618384402,0.9063604240282686,0.9174454828660437,0.7990654205607477,0.8661764705882353,0.8493377483443709,642.0,642.0,589,129,513,53
