,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF5,XGBClassifier,None,1,0.9964442013129103,1.0,1.0,0.9787234042553191,0.9982189341005618,0.989247311827957,3643.0,611.0,3643,13,598,0
1,DF5,XGBClassifier,None,2,0.998076394613905,1.0,1.0,0.9887459807073955,0.9990372713519462,0.994341147938561,3632.0,622.0,3632,7,615,0
2,DF5,XGBClassifier,None,3,0.998618402873722,1.0,1.0,0.9921875,0.9993087239043275,0.996078431372549,3614.0,640.0,3614,5,635,0
3,DF5,XGBClassifier,None,4,0.9966869133075649,1.0,1.0,0.9813664596273292,0.9983407079646017,0.9905956112852665,3610.0,644.0,3610,12,632,0
4,DF5,XGBClassifier,None,5,0.9969646799116998,1.0,1.0,0.982839313572543,0.9984800331629128,0.9913453973249411,3613.0,641.0,3613,11,630,0
5,DF5,XGBClassifier,None,6,0.9975151849806737,1.0,1.0,0.9859375,0.9987560469937802,0.9929189614476791,3613.0,640.0,3613,9,631,0
6,DF5,XGBClassifier,None,7,0.9966712898751734,1.0,1.0,0.9818181818181818,0.9983328702417339,0.9908256880733944,3593.0,660.0,3593,12,648,0
7,DF5,XGBClassifier,None,8,0.9958310172317955,1.0,1.0,0.9776119402985075,0.9979111544353154,0.9886792452830189,3583.0,670.0,3583,15,655,0
8,DF5,XGBClassifier,None,9,0.996116504854369,1.0,1.0,0.9788519637462235,0.9980544747081712,0.9893129770992367,3591.0,662.0,3591,14,648,0
9,DF5,XGBClassifier,None,10,0.9983407079646017,0.9984301412872841,0.9997230684021047,0.9906542056074766,0.999031409990314,0.9945269741985927,3611.0,642.0,3610,6,636,1
10,DF5,XGBClassifier,SMOTE,1,0.9964442013129103,1.0,1.0,0.9787234042553191,0.9982189341005618,0.989247311827957,3643.0,611.0,3643,13,598,0
11,DF5,XGBClassifier,SMOTE,2,0.998076394613905,1.0,1.0,0.9887459807073955,0.9990372713519462,0.994341147938561,3632.0,622.0,3632,7,615,0
12,DF5,XGBClassifier,SMOTE,3,0.998618402873722,1.0,1.0,0.9921875,0.9993087239043275,0.996078431372549,3614.0,640.0,3614,5,635,0
13,DF5,XGBClassifier,SMOTE,4,0.9961368653421634,1.0,1.0,0.9782608695652174,0.9980646944982029,0.989010989010989,3610.0,644.0,3610,14,630,0
14,DF5,XGBClassifier,SMOTE,5,0.9969646799116998,1.0,1.0,0.982839313572543,0.9984800331629128,0.9913453973249411,3613.0,641.0,3613,11,630,0
15,DF5,XGBClassifier,SMOTE,6,0.9983420834484664,1.0,1.0,0.990625,0.9991703539823009,0.9952904238618524,3613.0,640.0,3613,6,634,0
16,DF5,XGBClassifier,SMOTE,7,0.9972245351096308,1.0,1.0,0.9848484848484849,0.998610339077265,0.9923664122137404,3593.0,660.0,3593,10,650,0
17,DF5,XGBClassifier,SMOTE,8,0.996384872080089,1.0,1.0,0.9805970149253731,0.9981891628360495,0.9902034664657121,3583.0,670.0,3583,13,657,0
18,DF5,XGBClassifier,SMOTE,9,0.9966694421315571,1.0,1.0,0.9818731117824774,0.9983319432860718,0.9908536585365855,3591.0,662.0,3591,12,650,0
19,DF5,XGBClassifier,SMOTE,10,0.9986168741355463,0.9984326018808778,0.9997230684021047,0.9922118380062306,0.9991696650982562,0.9953125,3611.0,642.0,3610,5,637,1
20,DF5,XGBClassifier,Random Under Sampler,1,0.9967150287434985,0.9966722129783694,0.9994510019214933,0.9803600654664485,0.9980811403508772,0.9884488448844885,3643.0,611.0,3641,12,599,2
21,DF5,XGBClassifier,Random Under Sampler,2,0.9988992845349477,0.9967741935483871,0.9994493392070485,0.9935691318327974,0.9991742361684558,0.9951690821256038,3632.0,622.0,3630,4,618,2
22,DF5,XGBClassifier,Random Under Sampler,3,0.9988941111418302,0.9984301412872841,0.9997232982844494,0.99375,0.999308532706403,0.9960845732184808,3614.0,640.0,3613,4,636,1
23,DF5,XGBClassifier,Random Under Sampler,4,0.9969613259668508,0.998422712933754,0.9997229916897507,0.9829192546583851,0.9983402489626555,0.9906103286384976,3610.0,644.0,3609,11,633,1
24,DF5,XGBClassifier,Random Under Sampler,5,0.9975138121546961,0.9968454258675079,0.9994464433988375,0.9859594383775351,0.9984791925895203,0.9913725490196079,3613.0,641.0,3611,9,632,2
25,DF5,XGBClassifier,Random Under Sampler,6,0.9983407079646017,0.9952904238618524,0.9991696650982563,0.990625,0.9987550145248305,0.9929522317932655,3613.0,640.0,3610,6,634,3
26,DF5,XGBClassifier,Random Under Sampler,7,0.9980544747081712,0.9969465648854962,0.9994433620929585,0.9893939393939394,0.9987484355444304,0.9931558935361217,3593.0,660.0,3591,7,653,2
27,DF5,XGBClassifier,Random Under Sampler,8,0.9969367864104706,0.9954682779456193,0.999162712810494,0.9835820895522388,0.9980485085029271,0.9894894894894894,3583.0,670.0,3580,11,659,3
28,DF5,XGBClassifier,Random Under Sampler,9,0.9974986103390773,0.9969465648854962,0.999443052074631,0.986404833836858,0.9984698845458339,0.9916476841305998,3591.0,662.0,3589,9,653,2
29,DF5,XGBClassifier,Random Under Sampler,10,0.9988913525498891,0.9891472868217054,0.9980614788147327,0.9937694704049844,0.9984762432469871,0.9914529914529915,3611.0,642.0,3604,4,638,7
30,DF5,XGBClassifier,Random Over Sampler,1,0.9964442013129103,1.0,1.0,0.9787234042553191,0.9982189341005618,0.989247311827957,3643.0,611.0,3643,13,598,0
31,DF5,XGBClassifier,Random Over Sampler,2,0.998625240582898,1.0,1.0,0.9919614147909968,0.9993121474755812,0.9959644874899112,3632.0,622.0,3632,5,617,0
32,DF5,XGBClassifier,Random Over Sampler,3,0.998618402873722,1.0,1.0,0.9921875,0.9993087239043275,0.996078431372549,3614.0,640.0,3614,5,635,0
33,DF5,XGBClassifier,Random Over Sampler,4,0.997236805747444,0.9984251968503937,0.9997229916897507,0.984472049689441,0.998478351085904,0.9913995308835027,3610.0,644.0,3609,10,634,1
34,DF5,XGBClassifier,Random Over Sampler,5,0.9969646799116998,1.0,1.0,0.982839313572543,0.9984800331629128,0.9913453973249411,3613.0,641.0,3613,11,630,0
