,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF5,BaggedTreeClassifier,None,1,0.8472222222222222,0.6428571428571429,0.8591549295774648,0.6206896551724138,0.8531468531468532,0.6315789473684211,71.0,29.0,61,11,18,10
1,DF5,BaggedTreeClassifier,None,2,0.7692307692307693,0.5454545454545454,0.8571428571428571,0.4,0.8108108108108107,0.4615384615384615,70.0,30.0,60,18,12,10
2,DF5,BaggedTreeClassifier,None,3,0.7195121951219512,0.5,0.8676470588235294,0.28125,0.7866666666666666,0.36,68.0,32.0,59,23,9,9
3,DF5,BaggedTreeClassifier,None,4,0.7790697674418605,0.5714285714285714,0.9178082191780822,0.2962962962962963,0.8427672955974842,0.3902439024390244,73.0,27.0,67,19,8,6
4,DF5,BaggedTreeClassifier,None,5,0.75,0.39285714285714285,0.7605633802816901,0.3793103448275862,0.7552447552447553,0.3859649122807017,71.0,29.0,54,18,11,17
5,DF5,BaggedTreeClassifier,None,6,0.7012987012987013,0.6521739130434783,0.8709677419354839,0.39473684210526316,0.7769784172661871,0.49180327868852464,62.0,38.0,54,23,15,8
6,DF5,BaggedTreeClassifier,None,7,0.8313253012048193,0.5294117647058824,0.8961038961038961,0.391304347826087,0.8624999999999999,0.45,77.0,23.0,69,14,9,8
7,DF5,BaggedTreeClassifier,None,8,0.8227848101265823,0.8571428571428571,0.9558823529411765,0.5625,0.8843537414965986,0.6792452830188678,68.0,32.0,65,14,18,3
8,DF5,BaggedTreeClassifier,None,9,0.8461538461538461,0.5909090909090909,0.88,0.52,0.8627450980392156,0.5531914893617023,75.0,25.0,66,12,13,9
9,DF5,BaggedTreeClassifier,None,10,0.7142857142857143,0.5652173913043478,0.8461538461538461,0.37142857142857144,0.7746478873239436,0.4482758620689655,65.0,35.0,55,22,13,10
10,DF5,BaggedTreeClassifier,SMOTE,1,0.8472222222222222,0.6428571428571429,0.8591549295774648,0.6206896551724138,0.8531468531468532,0.6315789473684211,71.0,29.0,61,11,18,10
11,DF5,BaggedTreeClassifier,SMOTE,2,0.7945205479452054,0.5555555555555556,0.8285714285714286,0.5,0.8111888111888111,0.5263157894736842,70.0,30.0,58,15,15,12
12,DF5,BaggedTreeClassifier,SMOTE,3,0.7605633802816901,0.5172413793103449,0.7941176470588235,0.46875,0.7769784172661871,0.4918032786885246,68.0,32.0,54,17,15,14
13,DF5,BaggedTreeClassifier,SMOTE,4,0.8266666666666667,0.56,0.8493150684931506,0.5185185185185185,0.8378378378378378,0.5384615384615384,73.0,27.0,62,13,14,11
