,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF5,DecisionTreeClassifier,None,1,0.819672131147541,0.46153846153846156,0.704225352112676,0.6206896551724138,0.7575757575757576,0.5294117647058824,71.0,29.0,50,11,18,21
1,DF5,DecisionTreeClassifier,None,2,0.7368421052631579,0.4166666666666667,0.8,0.3333333333333333,0.7671232876712328,0.3703703703703704,70.0,30.0,56,20,10,14
2,DF5,DecisionTreeClassifier,None,3,0.7183098591549296,0.41379310344827586,0.75,0.375,0.7338129496402879,0.3934426229508197,68.0,32.0,51,20,12,17
3,DF5,DecisionTreeClassifier,None,4,0.8157894736842105,0.5416666666666666,0.8493150684931506,0.48148148148148145,0.832214765100671,0.5098039215686274,73.0,27.0,62,14,13,11
4,DF5,DecisionTreeClassifier,None,5,0.7575757575757576,0.38235294117647056,0.704225352112676,0.4482758620689655,0.7299270072992701,0.41269841269841273,71.0,29.0,50,16,13,21
5,DF5,DecisionTreeClassifier,None,6,0.7076923076923077,0.5428571428571428,0.7419354838709677,0.5,0.7244094488188977,0.5205479452054795,62.0,38.0,46,19,19,16
6,DF5,DecisionTreeClassifier,None,7,0.782608695652174,0.25806451612903225,0.7012987012987013,0.34782608695652173,0.7397260273972603,0.2962962962962963,77.0,23.0,54,15,8,23
7,DF5,DecisionTreeClassifier,None,8,0.7464788732394366,0.4827586206896552,0.7794117647058824,0.4375,0.762589928057554,0.4590163934426229,68.0,32.0,53,18,14,15
8,DF5,DecisionTreeClassifier,None,9,0.8307692307692308,0.4,0.72,0.56,0.7714285714285715,0.4666666666666667,75.0,25.0,54,11,14,21
9,DF5,DecisionTreeClassifier,None,10,0.6666666666666666,0.4,0.7692307692307693,0.2857142857142857,0.7142857142857142,0.3333333333333333,65.0,35.0,50,25,10,15
10,DF5,DecisionTreeClassifier,SMOTE,1,0.8620689655172413,0.5,0.704225352112676,0.7241379310344828,0.7751937984496124,0.591549295774648,71.0,29.0,50,8,21,21
11,DF5,DecisionTreeClassifier,SMOTE,2,0.765625,0.4166666666666667,0.7,0.5,0.7313432835820896,0.45454545454545453,70.0,30.0,49,15,15,21
12,DF5,DecisionTreeClassifier,SMOTE,3,0.7903225806451613,0.5,0.7205882352941176,0.59375,0.7538461538461538,0.5428571428571428,68.0,32.0,49,13,19,19
13,DF5,DecisionTreeClassifier,SMOTE,4,0.75,0.3333333333333333,0.7808219178082192,0.2962962962962963,0.7651006711409396,0.3137254901960785,73.0,27.0,57,19,8,16
14,DF5,DecisionTreeClassifier,SMOTE,5,0.7868852459016393,0.41025641025641024,0.676056338028169,0.5517241379310345,0.7272727272727273,0.47058823529411764,71.0,29.0,48,13,16,23
15,DF5,DecisionTreeClassifier,SMOTE,6,0.746031746031746,0.5945945945945946,0.7580645161290323,0.5789473684210527,0.752,0.5866666666666667,62.0,38.0,47,16,22,15
16,DF5,DecisionTreeClassifier,SMOTE,7,0.8382352941176471,0.375,0.7402597402597403,0.5217391304347826,0.7862068965517242,0.43636363636363634,77.0,23.0,57,11,12,20
17,DF5,DecisionTreeClassifier,SMOTE,8,0.7903225806451613,0.5,0.7205882352941176,0.59375,0.7538461538461538,0.5428571428571428,68.0,32.0,49,13,19,19
18,DF5,DecisionTreeClassifier,SMOTE,9,0.796875,0.3333333333333333,0.68,0.48,0.7338129496402876,0.39344262295081966,75.0,25.0,51,13,12,24
19,DF5,DecisionTreeClassifier,SMOTE,10,0.746268656716418,0.5454545454545454,0.7692307692307693,0.5142857142857142,0.7575757575757576,0.5294117647058822,65.0,35.0,50,17,18,15
20,DF5,DecisionTreeClassifier,Random Under Sampler,1,0.8301886792452831,0.425531914893617,0.6197183098591549,0.6896551724137931,0.7096774193548387,0.5263157894736842,71.0,29.0,44,9,20,27
21,DF5,DecisionTreeClassifier,Random Under Sampler,2,0.7843137254901961,0.3877551020408163,0.5714285714285714,0.6333333333333333,0.6611570247933883,0.4810126582278481,70.0,30.0,40,11,19,30
22,DF5,DecisionTreeClassifier,Random Under Sampler,3,0.7884615384615384,0.4375,0.6029411764705882,0.65625,0.6833333333333333,0.525,68.0,32.0,41,11,21,27
23,DF5,DecisionTreeClassifier,Random Under Sampler,4,0.8709677419354839,0.5,0.7397260273972602,0.7037037037037037,0.8,0.5846153846153846,73.0,27.0,54,8,19,19
24,DF5,DecisionTreeClassifier,Random Under Sampler,5,0.7962962962962963,0.391304347826087,0.6056338028169014,0.6206896551724138,0.688,0.48,71.0,29.0,43,11,18,28
25,DF5,DecisionTreeClassifier,Random Under Sampler,6,0.7608695652173914,0.5,0.5645161290322581,0.7105263157894737,0.6481481481481481,0.5869565217391304,62.0,38.0,35,11,27,27
26,DF5,DecisionTreeClassifier,Random Under Sampler,7,0.8032786885245902,0.28205128205128205,0.6363636363636364,0.4782608695652174,0.7101449275362318,0.3548387096774194,77.0,23.0,49,12,11,28
27,DF5,DecisionTreeClassifier,Random Under Sampler,8,0.7843137254901961,0.42857142857142855,0.5882352941176471,0.65625,0.6722689075630252,0.5185185185185185,68.0,32.0,40,11,21,28
28,DF5,DecisionTreeClassifier,Random Under Sampler,9,0.8275862068965517,0.35714285714285715,0.64,0.6,0.7218045112781956,0.44776119402985076,75.0,25.0,48,10,15,27
29,DF5,DecisionTreeClassifier,Random Under Sampler,10,0.7666666666666667,0.525,0.7076923076923077,0.6,0.736,0.56,65.0,35.0,46,14,21,19
30,DF5,DecisionTreeClassifier,Random Over Sampler,1,0.7575757575757576,0.38235294117647056,0.704225352112676,0.4482758620689655,0.7299270072992701,0.41269841269841273,71.0,29.0,50,16,13,21
31,DF5,DecisionTreeClassifier,Random Over Sampler,2,0.8235294117647058,0.5625,0.8,0.6,0.8115942028985507,0.5806451612903225,70.0,30.0,56,12,18,14
32,DF5,DecisionTreeClassifier,Random Over Sampler,3,0.7432432432432432,0.5,0.8088235294117647,0.40625,0.7746478873239436,0.4482758620689655,68.0,32.0,55,19,13,13
33,DF5,DecisionTreeClassifier,Random Over Sampler,4,0.8382352941176471,0.5,0.7808219178082192,0.5925925925925926,0.8085106382978724,0.5423728813559322,73.0,27.0,57,11,16,16
34,DF5,DecisionTreeClassifier,Random Over Sampler,5,0.7205882352941176,0.3125,0.6901408450704225,0.3448275862068966,0.7050359712230215,0.3278688524590164,71.0,29.0,49,19,10,22
35,DF5,DecisionTreeClassifier,Random Over Sampler,6,0.676056338028169,0.5172413793103449,0.7741935483870968,0.39473684210526316,0.7218045112781956,0.44776119402985076,62.0,38.0,48,23,15,14
36,DF5,DecisionTreeClassifier,Random Over Sampler,7,0.7761194029850746,0.24242424242424243,0.6753246753246753,0.34782608695652173,0.7222222222222222,0.28571428571428575,77.0,23.0,52,15,8,25
37,DF5,DecisionTreeClassifier,Random Over Sampler,8,0.7352941176470589,0.4375,0.7352941176470589,0.4375,0.735294117647059,0.4375,68.0,32.0,50,18,14,18
38,DF5,DecisionTreeClassifier,Random Over Sampler,9,0.8157894736842105,0.4583333333333333,0.8266666666666667,0.44,0.8211920529801323,0.4489795918367347,75.0,25.0,62,14,11,13
39,DF5,DecisionTreeClassifier,Random Over Sampler,10,0.75,0.5277777777777778,0.7384615384615385,0.5428571428571428,0.7441860465116279,0.5352112676056338,65.0,35.0,48,16,19,17
40,DF5,DecisionTreeClassifier,SMOTEENN,1,0.8333333333333334,0.40384615384615385,0.5633802816901409,0.7241379310344828,0.6722689075630253,0.5185185185185185,71.0,29.0,40,8,21,31
41,DF5,DecisionTreeClassifier,SMOTEENN,2,0.7272727272727273,0.35294117647058826,0.6857142857142857,0.4,0.7058823529411764,0.37500000000000006,70.0,30.0,48,18,12,22
