,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF7,Fast Text - Linear Regression,None,1,0.8285714285714286,0.5666666666666667,0.8169014084507042,0.5862068965517241,0.822695035460993,0.576271186440678,71.0,29.0,58,12,17,13
1,DF7,Fast Text - Linear Regression,None,2,0.7971014492753623,0.5161290322580645,0.7857142857142857,0.5333333333333333,0.7913669064748201,0.5245901639344263,70.0,30.0,55,14,16,15
2,DF7,Fast Text - Linear Regression,None,3,0.7325581395348837,0.6428571428571429,0.9264705882352942,0.28125,0.8181818181818182,0.391304347826087,68.0,32.0,63,23,9,5
3,DF7,Fast Text - Linear Regression,None,4,0.7608695652173914,0.625,0.958904109589041,0.18518518518518517,0.8484848484848485,0.2857142857142857,73.0,27.0,70,22,5,3
4,DF7,Fast Text - Linear Regression,None,5,0.7654320987654321,0.5263157894736842,0.8732394366197183,0.3448275862068966,0.8157894736842104,0.4166666666666667,71.0,29.0,62,19,10,9
5,DF7,Fast Text - Linear Regression,None,6,0.7058823529411765,0.46938775510204084,0.5806451612903226,0.6052631578947368,0.6371681415929203,0.5287356321839081,62.0,38.0,36,15,23,26
6,DF7,Fast Text - Linear Regression,None,7,0.8378378378378378,0.4230769230769231,0.8051948051948052,0.4782608695652174,0.8211920529801325,0.44897959183673475,77.0,23.0,62,12,11,15
7,DF7,Fast Text - Linear Regression,None,8,0.7875,0.75,0.9264705882352942,0.46875,0.8513513513513514,0.5769230769230769,68.0,32.0,63,17,15,5
8,DF7,Fast Text - Linear Regression,None,9,0.8533333333333334,0.56,0.8533333333333334,0.56,0.8533333333333335,0.56,75.0,25.0,64,11,14,11
9,DF7,Fast Text - Linear Regression,None,10,0.725,0.65,0.8923076923076924,0.37142857142857144,0.8,0.4727272727272728,65.0,35.0,58,22,13,7
10,DF7,Fast Text - Linear Regression,Random Under Sampler,1,0.8421052631578947,0.6666666666666666,0.5517241379310345,0.896551724137931,0.6666666666666666,0.7647058823529411,29.0,29.0,16,3,26,13
11,DF7,Fast Text - Linear Regression,Random Under Sampler,2,0.6486486486486487,0.7391304347826086,0.8,0.5666666666666667,0.7164179104477612,0.6415094339622641,30.0,30.0,24,13,17,6
12,DF7,Fast Text - Linear Regression,Random Under Sampler,3,0.6,0.7368421052631579,0.84375,0.4375,0.7012987012987012,0.5490196078431372,32.0,32.0,27,18,14,5
13,DF7,Fast Text - Linear Regression,Random Under Sampler,4,0.6216216216216216,0.7647058823529411,0.8518518518518519,0.48148148148148145,0.7187499999999999,0.5909090909090909,27.0,27.0,23,14,13,4
14,DF7,Fast Text - Linear Regression,Random Under Sampler,5,0.6296296296296297,0.6129032258064516,0.5862068965517241,0.6551724137931034,0.6071428571428571,0.6333333333333333,29.0,29.0,17,10,19,12
15,DF7,Fast Text - Linear Regression,Random Under Sampler,6,0.5769230769230769,0.6666666666666666,0.7894736842105263,0.42105263157894735,0.6666666666666666,0.5161290322580646,38.0,38.0,30,22,16,8
16,DF7,Fast Text - Linear Regression,Random Under Sampler,7,0.6666666666666666,0.64,0.6086956521739131,0.6956521739130435,0.6363636363636365,0.6666666666666666,23.0,23.0,14,7,16,9
17,DF7,Fast Text - Linear Regression,Random Under Sampler,8,0.7058823529411765,0.574468085106383,0.375,0.84375,0.48979591836734687,0.6835443037974684,32.0,32.0,12,5,27,20
18,DF7,Fast Text - Linear Regression,Random Under Sampler,9,0.7,0.55,0.28,0.88,0.4,0.676923076923077,25.0,25.0,7,3,22,18
19,DF7,Fast Text - Linear Regression,Random Under Sampler,10,0.7,0.58,0.4,0.8285714285714286,0.509090909090909,0.6823529411764706,35.0,35.0,14,6,29,21
20,DF7,Fast Text - Linear Regression,Random Over Sampler,1,0.782608695652174,0.6857142857142857,0.6206896551724138,0.8275862068965517,0.6923076923076923,0.75,29.0,29.0,18,5,24,11
21,DF7,Fast Text - Linear Regression,Random Over Sampler,2,0.52,0.6,0.8666666666666667,0.2,0.65,0.3,30.0,30.0,26,24,6,4
22,DF7,Fast Text - Linear Regression,Random Over Sampler,3,0.7419354838709677,0.7272727272727273,0.71875,0.75,0.7301587301587302,0.7384615384615384,32.0,32.0,23,8,24,9
23,DF7,Fast Text - Linear Regression,Random Over Sampler,4,0.6111111111111112,0.7222222222222222,0.8148148148148148,0.48148148148148145,0.6984126984126984,0.5777777777777777,27.0,27.0,22,14,13,5
24,DF7,Fast Text - Linear Regression,Random Over Sampler,5,0.6521739130434783,0.6,0.5172413793103449,0.7241379310344828,0.576923076923077,0.65625,29.0,29.0,15,8,21,14
25,DF7,Fast Text - Linear Regression,Random Over Sampler,6,0.6428571428571429,0.5833333333333334,0.47368421052631576,0.7368421052631579,0.5454545454545454,0.6511627906976745,38.0,38.0,18,10,28,20
26,DF7,Fast Text - Linear Regression,Random Over Sampler,7,0.6,0.8181818181818182,0.9130434782608695,0.391304347826087,0.7241379310344828,0.5294117647058824,23.0,23.0,21,14,9,2
27,DF7,Fast Text - Linear Regression,Random Over Sampler,8,0.696969696969697,0.7096774193548387,0.71875,0.6875,0.7076923076923077,0.6984126984126984,32.0,32.0,23,10,22,9
28,DF7,Fast Text - Linear Regression,Random Over Sampler,9,0.7083333333333334,0.6923076923076923,0.68,0.72,0.6938775510204083,0.7058823529411765,25.0,25.0,17,7,18,8
29,DF7,Fast Text - Linear Regression,Random Over Sampler,10,0.6176470588235294,0.6111111111111112,0.6,0.6285714285714286,0.608695652173913,0.619718309859155,35.0,35.0,21,13,22,14
