,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF7a,Fast Text - Linear Regression,None,1,0.7733333333333333,0.48,0.8169014084507042,0.41379310344827586,0.7945205479452055,0.4444444444444445,71.0,29.0,58,17,12,13
1,DF7a,Fast Text - Linear Regression,None,2,0.7692307692307693,0.5454545454545454,0.8571428571428571,0.4,0.8108108108108107,0.4615384615384615,70.0,30.0,60,18,12,10
2,DF7a,Fast Text - Linear Regression,None,3,0.7435897435897436,0.5454545454545454,0.8529411764705882,0.375,0.7945205479452054,0.4444444444444444,68.0,32.0,58,20,12,10
3,DF7a,Fast Text - Linear Regression,None,4,0.7974683544303798,0.5238095238095238,0.863013698630137,0.4074074074074074,0.8289473684210525,0.4583333333333333,73.0,27.0,63,16,11,10
4,DF7a,Fast Text - Linear Regression,None,5,0.7407407407407407,0.42105263157894735,0.8450704225352113,0.27586206896551724,0.7894736842105262,0.3333333333333333,71.0,29.0,60,21,8,11
5,DF7a,Fast Text - Linear Regression,None,6,0.6973684210526315,0.625,0.8548387096774194,0.39473684210526316,0.7681159420289855,0.48387096774193544,62.0,38.0,53,23,15,9
6,DF7a,Fast Text - Linear Regression,None,7,0.7831325301204819,0.29411764705882354,0.8441558441558441,0.21739130434782608,0.8124999999999999,0.25,77.0,23.0,65,18,5,12
7,DF7a,Fast Text - Linear Regression,None,8,0.7831325301204819,0.8235294117647058,0.9558823529411765,0.4375,0.8609271523178808,0.5714285714285714,68.0,32.0,65,18,14,3
8,DF7a,Fast Text - Linear Regression,None,9,0.8076923076923077,0.45454545454545453,0.84,0.4,0.8235294117647058,0.4255319148936171,75.0,25.0,63,15,10,12
9,DF7a,Fast Text - Linear Regression,None,10,0.72,0.56,0.8307692307692308,0.4,0.7714285714285715,0.4666666666666667,65.0,35.0,54,21,14,11
10,DF7a,Fast Text - Linear Regression,Random Under Sampler,1,0.7241379310344828,0.7241379310344828,0.7241379310344828,0.7241379310344828,0.7241379310344829,0.7241379310344829,29.0,29.0,21,8,21,8
11,DF7a,Fast Text - Linear Regression,Random Under Sampler,2,0.6296296296296297,0.6060606060606061,0.5666666666666667,0.6666666666666666,0.5964912280701755,0.6349206349206349,30.0,30.0,17,10,20,13
12,DF7a,Fast Text - Linear Regression,Random Under Sampler,3,0.7272727272727273,0.7419354838709677,0.75,0.71875,0.7384615384615384,0.7301587301587302,32.0,32.0,24,9,23,8
13,DF7a,Fast Text - Linear Regression,Random Under Sampler,4,0.6896551724137931,0.72,0.7407407407407407,0.6666666666666666,0.7142857142857143,0.6923076923076923,27.0,27.0,20,9,18,7
14,DF7a,Fast Text - Linear Regression,Random Under Sampler,5,0.7407407407407407,0.7096774193548387,0.6896551724137931,0.7586206896551724,0.7142857142857143,0.7333333333333333,29.0,29.0,20,7,22,9
15,DF7a,Fast Text - Linear Regression,Random Under Sampler,6,0.5483870967741935,0.5333333333333333,0.4473684210526316,0.631578947368421,0.49275362318840576,0.5783132530120482,38.0,38.0,17,14,24,21
16,DF7a,Fast Text - Linear Regression,Random Under Sampler,7,0.6666666666666666,0.6818181818181818,0.6956521739130435,0.6521739130434783,0.6808510638297872,0.6666666666666666,23.0,23.0,16,8,15,7
17,DF7a,Fast Text - Linear Regression,Random Under Sampler,8,0.7857142857142857,0.7222222222222222,0.6875,0.8125,0.7333333333333334,0.7647058823529411,32.0,32.0,22,6,26,10
18,DF7a,Fast Text - Linear Regression,Random Under Sampler,9,0.5909090909090909,0.5714285714285714,0.52,0.64,0.5531914893617023,0.6037735849056605,25.0,25.0,13,9,16,12
19,DF7a,Fast Text - Linear Regression,Random Under Sampler,10,0.6875,0.6578947368421053,0.6285714285714286,0.7142857142857143,0.6567164179104478,0.684931506849315,35.0,35.0,22,10,25,13
20,DF7a,Fast Text - Linear Regression,Random Over Sampler,1,0.7142857142857143,0.7,0.6896551724137931,0.7241379310344828,0.7017543859649122,0.711864406779661,29.0,29.0,20,8,21,9
21,DF7a,Fast Text - Linear Regression,Random Over Sampler,2,0.6071428571428571,0.59375,0.5666666666666667,0.6333333333333333,0.5862068965517241,0.6129032258064516,30.0,30.0,17,11,19,13
22,DF7a,Fast Text - Linear Regression,Random Over Sampler,3,0.6666666666666666,0.7142857142857143,0.75,0.625,0.7058823529411765,0.6666666666666666,32.0,32.0,24,12,20,8
23,DF7a,Fast Text - Linear Regression,Random Over Sampler,4,0.6785714285714286,0.6923076923076923,0.7037037037037037,0.6666666666666666,0.6909090909090909,0.6792452830188679,27.0,27.0,19,9,18,8
24,DF7a,Fast Text - Linear Regression,Random Over Sampler,5,0.6363636363636364,0.68,0.7241379310344828,0.5862068965517241,0.6774193548387097,0.6296296296296295,29.0,29.0,21,12,17,8
25,DF7a,Fast Text - Linear Regression,Random Over Sampler,6,0.5882352941176471,0.5714285714285714,0.5263157894736842,0.631578947368421,0.5555555555555555,0.6,38.0,38.0,20,14,24,18
26,DF7a,Fast Text - Linear Regression,Random Over Sampler,7,0.64,0.6666666666666666,0.6956521739130435,0.6086956521739131,0.6666666666666666,0.6363636363636365,23.0,23.0,16,9,14,7
27,DF7a,Fast Text - Linear Regression,Random Over Sampler,8,0.8333333333333334,0.7,0.625,0.875,0.7142857142857143,0.7777777777777777,32.0,32.0,20,4,28,12
28,DF7a,Fast Text - Linear Regression,Random Over Sampler,9,0.5517241379310345,0.5714285714285714,0.64,0.48,0.5925925925925927,0.5217391304347826,25.0,25.0,16,13,12,9
