,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF2,Fast Text - train_supervised,None,1,0.8333333333333334,0.6071428571428571,0.8450704225352113,0.5862068965517241,0.8391608391608393,0.5964912280701754,71.0,29.0,60,12,17,11
1,DF2,Fast Text - train_supervised,None,2,0.7887323943661971,0.5172413793103449,0.8,0.5,0.7943262411347518,0.5084745762711865,70.0,30.0,56,15,15,14
2,DF2,Fast Text - train_supervised,None,3,0.7721518987341772,0.6666666666666666,0.8970588235294118,0.4375,0.8299319727891157,0.5283018867924528,68.0,32.0,61,18,14,7
3,DF2,Fast Text - train_supervised,None,4,0.8170731707317073,0.6666666666666666,0.9178082191780822,0.4444444444444444,0.864516129032258,0.5333333333333333,73.0,27.0,67,15,12,6
4,DF2,Fast Text - train_supervised,None,5,0.7681159420289855,0.41935483870967744,0.7464788732394366,0.4482758620689655,0.7571428571428571,0.4333333333333333,71.0,29.0,53,16,13,18
5,DF2,Fast Text - train_supervised,None,6,0.6933333333333334,0.6,0.8387096774193549,0.39473684210526316,0.7591240875912408,0.47619047619047616,62.0,38.0,52,23,15,10
6,DF2,Fast Text - train_supervised,None,7,0.8108108108108109,0.34615384615384615,0.7792207792207793,0.391304347826087,0.794701986754967,0.36734693877551017,77.0,23.0,60,14,9,17
7,DF2,Fast Text - train_supervised,None,8,0.8309859154929577,0.6896551724137931,0.8676470588235294,0.625,0.8489208633093526,0.6557377049180328,68.0,32.0,59,12,20,9
8,DF2,Fast Text - train_supervised,None,9,0.8125,0.5,0.8666666666666667,0.4,0.8387096774193549,0.4444444444444445,75.0,25.0,65,15,10,10
9,DF2,Fast Text - train_supervised,None,10,0.7638888888888888,0.6428571428571429,0.8461538461538461,0.5142857142857142,0.802919708029197,0.5714285714285714,65.0,35.0,55,17,18,10
10,DF2,Fast Text - train_supervised,Random Under Sampler,1,0.8518518518518519,0.45652173913043476,0.647887323943662,0.7241379310344828,0.7360000000000001,0.5599999999999999,71.0,29.0,46,8,21,25
11,DF2,Fast Text - train_supervised,Random Under Sampler,2,0.8245614035087719,0.46511627906976744,0.6714285714285714,0.6666666666666666,0.7401574803149606,0.547945205479452,70.0,30.0,47,10,20,23
12,DF2,Fast Text - train_supervised,Random Under Sampler,3,0.847457627118644,0.5609756097560976,0.7352941176470589,0.71875,0.7874015748031497,0.6301369863013699,68.0,32.0,50,9,23,18
13,DF2,Fast Text - train_supervised,Random Under Sampler,4,0.819672131147541,0.41025641025641024,0.684931506849315,0.5925925925925926,0.7462686567164178,0.4848484848484849,73.0,27.0,50,11,16,23
14,DF2,Fast Text - train_supervised,Random Under Sampler,5,0.8148148148148148,0.41304347826086957,0.6197183098591549,0.6551724137931034,0.704,0.5066666666666666,71.0,29.0,44,10,19,27
15,DF2,Fast Text - train_supervised,Random Under Sampler,6,0.6829268292682927,0.423728813559322,0.45161290322580644,0.6578947368421053,0.5436893203883495,0.5154639175257731,62.0,38.0,28,13,25,34
16,DF2,Fast Text - train_supervised,Random Under Sampler,7,0.8412698412698413,0.35135135135135137,0.6883116883116883,0.5652173913043478,0.7571428571428571,0.43333333333333335,77.0,23.0,53,10,13,24
17,DF2,Fast Text - train_supervised,Random Under Sampler,8,0.8518518518518519,0.5217391304347826,0.6764705882352942,0.75,0.7540983606557378,0.6153846153846153,68.0,32.0,46,8,24,22
18,DF2,Fast Text - train_supervised,Random Under Sampler,9,0.847457627118644,0.3902439024390244,0.6666666666666666,0.64,0.7462686567164178,0.48484848484848486,75.0,25.0,50,9,16,25
19,DF2,Fast Text - train_supervised,Random Under Sampler,10,0.8235294117647058,0.5306122448979592,0.6461538461538462,0.7428571428571429,0.7241379310344827,0.6190476190476191,65.0,35.0,42,9,26,23
20,DF2,Fast Text - train_supervised,Random Over Sampler,1,0.8260869565217391,0.5483870967741935,0.8028169014084507,0.5862068965517241,0.8142857142857144,0.5666666666666665,71.0,29.0,57,12,17,14
21,DF2,Fast Text - train_supervised,Random Over Sampler,2,0.803030303030303,0.5,0.7571428571428571,0.5666666666666667,0.7794117647058824,0.53125,70.0,30.0,53,13,17,17
22,DF2,Fast Text - train_supervised,Random Over Sampler,3,0.7733333333333333,0.6,0.8529411764705882,0.46875,0.8111888111888111,0.5263157894736842,68.0,32.0,58,17,15,10
23,DF2,Fast Text - train_supervised,Random Over Sampler,4,0.8133333333333334,0.52,0.8356164383561644,0.48148148148148145,0.8243243243243243,0.5,73.0,27.0,61,14,13,12
24,DF2,Fast Text - train_supervised,Random Over Sampler,5,0.7761194029850746,0.42424242424242425,0.7323943661971831,0.4827586206896552,0.7536231884057972,0.45161290322580644,71.0,29.0,52,15,14,19
25,DF2,Fast Text - train_supervised,Random Over Sampler,6,0.6617647058823529,0.46875,0.7258064516129032,0.39473684210526316,0.6923076923076922,0.4285714285714286,62.0,38.0,45,23,15,17
26,DF2,Fast Text - train_supervised,Random Over Sampler,7,0.8333333333333334,0.39285714285714285,0.7792207792207793,0.4782608695652174,0.8053691275167787,0.4313725490196078,77.0,23.0,60,12,11,17
27,DF2,Fast Text - train_supervised,Random Over Sampler,8,0.8405797101449275,0.6774193548387096,0.8529411764705882,0.65625,0.8467153284671534,0.6666666666666667,68.0,32.0,58,11,21,10
28,DF2,Fast Text - train_supervised,Random Over Sampler,9,0.8450704225352113,0.4827586206896552,0.8,0.56,0.821917808219178,0.5185185185185185,75.0,25.0,60,11,14,15
29,DF2,Fast Text - train_supervised,Random Over Sampler,10,0.7681159420289855,0.6129032258064516,0.8153846153846154,0.5428571428571428,0.7910447761194029,0.5757575757575757,65.0,35.0,53,16,19,12
