,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF4,Fast Text - train_supervised,None,1,0.855072463768116,0.6129032258064516,0.8309859154929577,0.6551724137931034,0.8428571428571429,0.6333333333333333,71.0,29.0,59,10,19,12
1,DF4,Fast Text - train_supervised,None,2,0.8181818181818182,0.6956521739130435,0.9,0.5333333333333333,0.8571428571428572,0.6037735849056605,70.0,30.0,63,14,16,7
2,DF4,Fast Text - train_supervised,None,3,0.7590361445783133,0.7058823529411765,0.9264705882352942,0.375,0.8344370860927153,0.48979591836734687,68.0,32.0,63,20,12,5
3,DF4,Fast Text - train_supervised,None,4,0.8095238095238095,0.6875,0.9315068493150684,0.4074074074074074,0.8662420382165604,0.5116279069767441,73.0,27.0,68,16,11,5
4,DF4,Fast Text - train_supervised,None,5,0.8142857142857143,0.5333333333333333,0.8028169014084507,0.5517241379310345,0.8085106382978723,0.5423728813559322,71.0,29.0,57,13,16,14
5,DF4,Fast Text - train_supervised,None,6,0.7027027027027027,0.6153846153846154,0.8387096774193549,0.42105263157894735,0.7647058823529411,0.5,62.0,38.0,52,22,16,10
6,DF4,Fast Text - train_supervised,None,7,0.8076923076923077,0.36363636363636365,0.8181818181818182,0.34782608695652173,0.8129032258064518,0.3555555555555555,77.0,23.0,63,15,8,14
7,DF4,Fast Text - train_supervised,None,8,0.8285714285714286,0.6666666666666666,0.8529411764705882,0.625,0.8405797101449276,0.6451612903225806,68.0,32.0,58,12,20,10
8,DF4,Fast Text - train_supervised,None,9,0.8589743589743589,0.6363636363636364,0.8933333333333333,0.56,0.8758169934640523,0.5957446808510639,75.0,25.0,67,11,14,8
9,DF4,Fast Text - train_supervised,None,10,0.7333333333333333,0.6,0.8461538461538461,0.42857142857142855,0.7857142857142856,0.5,65.0,35.0,55,20,15,10
10,DF4,Fast Text - train_supervised,Random Under Sampler,1,0.9230769230769231,0.5208333333333334,0.676056338028169,0.8620689655172413,0.7804878048780487,0.6493506493506493,71.0,29.0,48,4,25,23
11,DF4,Fast Text - train_supervised,Random Under Sampler,2,0.8208955223880597,0.5454545454545454,0.7857142857142857,0.6,0.8029197080291971,0.5714285714285713,70.0,30.0,55,12,18,15
12,DF4,Fast Text - train_supervised,Random Under Sampler,3,0.8305084745762712,0.5365853658536586,0.7205882352941176,0.6875,0.7716535433070865,0.6027397260273972,68.0,32.0,49,10,22,19
13,DF4,Fast Text - train_supervised,Random Under Sampler,4,0.8787878787878788,0.5588235294117647,0.7945205479452054,0.7037037037037037,0.8345323741007193,0.6229508196721312,73.0,27.0,58,8,19,15
14,DF4,Fast Text - train_supervised,Random Under Sampler,5,0.8301886792452831,0.425531914893617,0.6197183098591549,0.6896551724137931,0.7096774193548387,0.5263157894736842,71.0,29.0,44,9,20,27
15,DF4,Fast Text - train_supervised,Random Under Sampler,6,0.7058823529411765,0.46938775510204084,0.5806451612903226,0.6052631578947368,0.6371681415929203,0.5287356321839081,62.0,38.0,36,15,23,26
16,DF4,Fast Text - train_supervised,Random Under Sampler,7,0.8412698412698413,0.35135135135135137,0.6883116883116883,0.5652173913043478,0.7571428571428571,0.43333333333333335,77.0,23.0,53,10,13,24
17,DF4,Fast Text - train_supervised,Random Under Sampler,8,0.8947368421052632,0.6046511627906976,0.75,0.8125,0.816,0.6933333333333334,68.0,32.0,51,6,26,17
18,DF4,Fast Text - train_supervised,Random Under Sampler,9,0.8928571428571429,0.4318181818181818,0.6666666666666666,0.76,0.7633587786259541,0.5507246376811594,75.0,25.0,50,6,19,25
19,DF4,Fast Text - train_supervised,Random Under Sampler,10,0.8297872340425532,0.5094339622641509,0.6,0.7714285714285715,0.6964285714285714,0.6136363636363636,65.0,35.0,39,8,27,26
20,DF4,Fast Text - train_supervised,Random Over Sampler,1,0.8656716417910447,0.6060606060606061,0.8169014084507042,0.6896551724137931,0.8405797101449274,0.6451612903225807,71.0,29.0,58,9,20,13
21,DF4,Fast Text - train_supervised,Random Over Sampler,2,0.8428571428571429,0.6333333333333333,0.8428571428571429,0.6333333333333333,0.8428571428571429,0.6333333333333333,70.0,30.0,59,11,19,11
