,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF5,LGBMClassifier,None,1,0.8656716417910447,0.6060606060606061,0.8169014084507042,0.6896551724137931,0.8405797101449274,0.6451612903225807,71.0,29.0,58,9,20,13
1,DF5,LGBMClassifier,None,2,0.8243243243243243,0.6538461538461539,0.8714285714285714,0.5666666666666667,0.8472222222222222,0.6071428571428571,70.0,30.0,61,13,17,9
2,DF5,LGBMClassifier,None,3,0.7916666666666666,0.6071428571428571,0.8382352941176471,0.53125,0.8142857142857143,0.5666666666666667,68.0,32.0,57,15,17,11
3,DF5,LGBMClassifier,None,4,0.8333333333333334,0.6363636363636364,0.8904109589041096,0.5185185185185185,0.8609271523178808,0.5714285714285714,73.0,27.0,65,13,14,8
4,DF5,LGBMClassifier,None,5,0.7575757575757576,0.38235294117647056,0.704225352112676,0.4482758620689655,0.7299270072992701,0.41269841269841273,71.0,29.0,50,16,13,21
5,DF5,LGBMClassifier,None,6,0.7222222222222222,0.6428571428571429,0.8387096774193549,0.47368421052631576,0.7761194029850746,0.5454545454545454,62.0,38.0,52,20,18,10
6,DF5,LGBMClassifier,None,7,0.8533333333333334,0.48,0.8311688311688312,0.5217391304347826,0.8421052631578949,0.4999999999999999,77.0,23.0,64,11,12,13
7,DF5,LGBMClassifier,None,8,0.8285714285714286,0.6666666666666666,0.8529411764705882,0.625,0.8405797101449276,0.6451612903225806,68.0,32.0,58,12,20,10
8,DF5,LGBMClassifier,None,9,0.8714285714285714,0.5333333333333333,0.8133333333333334,0.64,0.8413793103448276,0.5818181818181818,75.0,25.0,61,9,16,14
9,DF5,LGBMClassifier,None,10,0.7727272727272727,0.5882352941176471,0.7846153846153846,0.5714285714285714,0.7786259541984732,0.5797101449275363,65.0,35.0,51,15,20,14
10,DF5,LGBMClassifier,SMOTE,1,0.8656716417910447,0.6060606060606061,0.8169014084507042,0.6896551724137931,0.8405797101449274,0.6451612903225807,71.0,29.0,58,9,20,13
11,DF5,LGBMClassifier,SMOTE,2,0.8243243243243243,0.6538461538461539,0.8714285714285714,0.5666666666666667,0.8472222222222222,0.6071428571428571,70.0,30.0,61,13,17,9
12,DF5,LGBMClassifier,SMOTE,3,0.7916666666666666,0.6071428571428571,0.8382352941176471,0.53125,0.8142857142857143,0.5666666666666667,68.0,32.0,57,15,17,11
13,DF5,LGBMClassifier,SMOTE,4,0.8333333333333334,0.6363636363636364,0.8904109589041096,0.5185185185185185,0.8609271523178808,0.5714285714285714,73.0,27.0,65,13,14,8
14,DF5,LGBMClassifier,SMOTE,5,0.7575757575757576,0.38235294117647056,0.704225352112676,0.4482758620689655,0.7299270072992701,0.41269841269841273,71.0,29.0,50,16,13,21
15,DF5,LGBMClassifier,SMOTE,6,0.7222222222222222,0.6428571428571429,0.8387096774193549,0.47368421052631576,0.7761194029850746,0.5454545454545454,62.0,38.0,52,20,18,10
16,DF5,LGBMClassifier,SMOTE,7,0.8533333333333334,0.48,0.8311688311688312,0.5217391304347826,0.8421052631578949,0.4999999999999999,77.0,23.0,64,11,12,13
17,DF5,LGBMClassifier,SMOTE,8,0.8285714285714286,0.6666666666666666,0.8529411764705882,0.625,0.8405797101449276,0.6451612903225806,68.0,32.0,58,12,20,10
18,DF5,LGBMClassifier,SMOTE,9,0.8714285714285714,0.5333333333333333,0.8133333333333334,0.64,0.8413793103448276,0.5818181818181818,75.0,25.0,61,9,16,14
19,DF5,LGBMClassifier,SMOTE,10,0.7727272727272727,0.5882352941176471,0.7846153846153846,0.5714285714285714,0.7786259541984732,0.5797101449275363,65.0,35.0,51,15,20,14
20,DF5,LGBMClassifier,Random Under Sampler,1,0.9137931034482759,0.5714285714285714,0.7464788732394366,0.8275862068965517,0.8217054263565892,0.676056338028169,71.0,29.0,53,5,24,18
21,DF5,LGBMClassifier,Random Under Sampler,2,0.85,0.525,0.7285714285714285,0.7,0.7846153846153846,0.6,70.0,30.0,51,9,21,19
22,DF5,LGBMClassifier,Random Under Sampler,3,0.7794117647058824,0.53125,0.7794117647058824,0.53125,0.7794117647058824,0.53125,68.0,32.0,53,15,17,15
23,DF5,LGBMClassifier,Random Under Sampler,4,0.8888888888888888,0.5405405405405406,0.7671232876712328,0.7407407407407407,0.8235294117647058,0.625,73.0,27.0,56,7,20,17
24,DF5,LGBMClassifier,Random Under Sampler,5,0.7884615384615384,0.375,0.5774647887323944,0.6206896551724138,0.6666666666666667,0.4675324675324676,71.0,29.0,41,11,18,30
25,DF5,LGBMClassifier,Random Under Sampler,6,0.7254901960784313,0.4897959183673469,0.5967741935483871,0.631578947368421,0.6548672566371682,0.5517241379310346,62.0,38.0,37,14,24,25
26,DF5,LGBMClassifier,Random Under Sampler,7,0.8620689655172413,0.35714285714285715,0.6493506493506493,0.6521739130434783,0.7407407407407408,0.4615384615384615,77.0,23.0,50,8,15,27
