,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF5,Linear Regression,None,1,0.8266666666666667,0.64,0.8732394366197183,0.5517241379310345,0.8493150684931506,0.5925925925925927,71.0,29.0,62,13,16,9
1,DF5,Linear Regression,None,2,0.7926829268292683,0.7222222222222222,0.9285714285714286,0.43333333333333335,0.855263157894737,0.5416666666666666,70.0,30.0,65,17,13,5
2,DF5,Linear Regression,None,3,0.7662337662337663,0.6086956521739131,0.8676470588235294,0.4375,0.8137931034482758,0.5090909090909091,68.0,32.0,59,18,14,9
3,DF5,Linear Regression,None,4,0.8095238095238095,0.6875,0.9315068493150684,0.4074074074074074,0.8662420382165604,0.5116279069767441,73.0,27.0,68,16,11,5
4,DF5,Linear Regression,None,5,0.7662337662337663,0.4782608695652174,0.8309859154929577,0.3793103448275862,0.7972972972972973,0.4230769230769231,71.0,29.0,59,18,11,12
5,DF5,Linear Regression,None,6,0.6962025316455697,0.6666666666666666,0.8870967741935484,0.3684210526315789,0.7801418439716311,0.4745762711864407,62.0,38.0,55,24,14,7
6,DF5,Linear Regression,None,7,0.8205128205128205,0.4090909090909091,0.8311688311688312,0.391304347826087,0.8258064516129032,0.4,77.0,23.0,64,14,9,13
7,DF5,Linear Regression,None,8,0.8,0.8,0.9411764705882353,0.5,0.8648648648648648,0.6153846153846154,68.0,32.0,64,16,16,4
8,DF5,Linear Regression,None,9,0.8552631578947368,0.5833333333333334,0.8666666666666667,0.56,0.8609271523178809,0.5714285714285714,75.0,25.0,65,11,14,10
9,DF5,Linear Regression,None,10,0.775,0.85,0.9538461538461539,0.4857142857142857,0.8551724137931034,0.6181818181818183,65.0,35.0,62,18,17,3
10,DF5,Linear Regression,SMOTE,1,0.9454545454545454,0.5777777777777777,0.7323943661971831,0.896551724137931,0.8253968253968254,0.7027027027027027,71.0,29.0,52,3,26,19
11,DF5,Linear Regression,SMOTE,2,0.8507462686567164,0.6060606060606061,0.8142857142857143,0.6666666666666666,0.832116788321168,0.6349206349206349,70.0,30.0,57,10,20,13
12,DF5,Linear Regression,SMOTE,3,0.8088235294117647,0.59375,0.8088235294117647,0.59375,0.8088235294117648,0.59375,68.0,32.0,55,13,19,13
13,DF5,Linear Regression,SMOTE,4,0.8260869565217391,0.4838709677419355,0.7808219178082192,0.5555555555555556,0.8028169014084506,0.5172413793103449,73.0,27.0,57,12,15,16
