,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF5,Logistic Regression,None,1,0.8205128205128205,0.6818181818181818,0.9014084507042254,0.5172413793103449,0.8590604026845639,0.5882352941176471,71.0,29.0,64,14,15,7
1,DF5,Logistic Regression,None,2,0.7647058823529411,0.6666666666666666,0.9285714285714286,0.3333333333333333,0.8387096774193549,0.4444444444444444,70.0,30.0,65,20,10,5
2,DF5,Logistic Regression,None,3,0.7662337662337663,0.6086956521739131,0.8676470588235294,0.4375,0.8137931034482758,0.5090909090909091,68.0,32.0,59,18,14,9
3,DF5,Logistic Regression,None,4,0.7906976744186046,0.6428571428571429,0.9315068493150684,0.3333333333333333,0.8553459119496855,0.43902439024390244,73.0,27.0,68,18,9,5
4,DF5,Logistic Regression,None,5,0.7692307692307693,0.5,0.8450704225352113,0.3793103448275862,0.8053691275167785,0.4313725490196078,71.0,29.0,60,18,11,11
5,DF5,Logistic Regression,None,6,0.6962025316455697,0.6666666666666666,0.8870967741935484,0.3684210526315789,0.7801418439716311,0.4745762711864407,62.0,38.0,55,24,14,7
6,DF5,Logistic Regression,None,7,0.8076923076923077,0.36363636363636365,0.8181818181818182,0.34782608695652173,0.8129032258064518,0.3555555555555555,77.0,23.0,63,15,8,14
7,DF5,Logistic Regression,None,8,0.8311688311688312,0.8260869565217391,0.9411764705882353,0.59375,0.8827586206896552,0.6909090909090908,68.0,32.0,64,13,19,4
8,DF5,Logistic Regression,None,9,0.868421052631579,0.625,0.88,0.6,0.8741721854304636,0.6122448979591836,75.0,25.0,66,10,15,9
9,DF5,Logistic Regression,None,10,0.7468354430379747,0.7142857142857143,0.9076923076923077,0.42857142857142855,0.8194444444444445,0.5357142857142858,65.0,35.0,59,20,15,6
10,DF5,Logistic Regression,SMOTE,1,0.9,0.575,0.7605633802816901,0.7931034482758621,0.8244274809160305,0.6666666666666666,71.0,29.0,54,6,23,17
11,DF5,Logistic Regression,SMOTE,2,0.8088235294117647,0.53125,0.7857142857142857,0.5666666666666667,0.7971014492753622,0.5483870967741935,70.0,30.0,55,13,17,15
12,DF5,Logistic Regression,SMOTE,3,0.7794117647058824,0.53125,0.7794117647058824,0.53125,0.7794117647058824,0.53125,68.0,32.0,53,15,17,15
13,DF5,Logistic Regression,SMOTE,4,0.821917808219178,0.5185185185185185,0.821917808219178,0.5185185185185185,0.821917808219178,0.5185185185185185,73.0,27.0,60,13,14,13
14,DF5,Logistic Regression,SMOTE,5,0.7941176470588235,0.46875,0.7605633802816901,0.5172413793103449,0.7769784172661871,0.4918032786885246,71.0,29.0,54,14,15,17
15,DF5,Logistic Regression,SMOTE,6,0.7777777777777778,0.5652173913043478,0.6774193548387096,0.6842105263157895,0.7241379310344828,0.6190476190476191,62.0,38.0,42,12,26,20
16,DF5,Logistic Regression,SMOTE,7,0.8769230769230769,0.42857142857142855,0.7402597402597403,0.6521739130434783,0.8028169014084509,0.5172413793103448,77.0,23.0,57,8,15,20
17,DF5,Logistic Regression,SMOTE,8,0.8507462686567164,0.6666666666666666,0.8382352941176471,0.6875,0.8444444444444444,0.676923076923077,68.0,32.0,57,10,22,11
18,DF5,Logistic Regression,SMOTE,9,0.8923076923076924,0.5142857142857142,0.7733333333333333,0.72,0.8285714285714286,0.6,75.0,25.0,58,7,18,17
19,DF5,Logistic Regression,SMOTE,10,0.7903225806451613,0.5789473684210527,0.7538461538461538,0.6285714285714286,0.7716535433070866,0.6027397260273972,65.0,35.0,49,13,22,16
20,DF5,Logistic Regression,Random Under Sampler,1,0.8983050847457628,0.5609756097560976,0.7464788732394366,0.7931034482758621,0.8153846153846154,0.6571428571428573,71.0,29.0,53,6,23,18
21,DF5,Logistic Regression,Random Under Sampler,2,0.8260869565217391,0.5806451612903226,0.8142857142857143,0.6,0.8201438848920863,0.5901639344262295,70.0,30.0,57,12,18,13
22,DF5,Logistic Regression,Random Under Sampler,3,0.8225806451612904,0.5526315789473685,0.75,0.65625,0.7846153846153845,0.6,68.0,32.0,51,11,21,17
23,DF5,Logistic Regression,Random Under Sampler,4,0.8260869565217391,0.4838709677419355,0.7808219178082192,0.5555555555555556,0.8028169014084506,0.5172413793103449,73.0,27.0,57,12,15,16
24,DF5,Logistic Regression,Random Under Sampler,5,0.847457627118644,0.4878048780487805,0.704225352112676,0.6896551724137931,0.7692307692307692,0.5714285714285714,71.0,29.0,50,9,20,21
25,DF5,Logistic Regression,Random Under Sampler,6,0.7636363636363637,0.5555555555555556,0.6774193548387096,0.6578947368421053,0.7179487179487181,0.6024096385542169,62.0,38.0,42,13,25,20
26,DF5,Logistic Regression,Random Under Sampler,7,0.8852459016393442,0.41025641025641024,0.7012987012987013,0.6956521739130435,0.7826086956521738,0.5161290322580646,77.0,23.0,54,7,16,23
27,DF5,Logistic Regression,Random Under Sampler,8,0.8666666666666667,0.6,0.7647058823529411,0.75,0.8125,0.6666666666666665,68.0,32.0,52,8,24,16
28,DF5,Logistic Regression,Random Under Sampler,9,0.8983050847457628,0.4634146341463415,0.7066666666666667,0.76,0.7910447761194029,0.5757575757575758,75.0,25.0,53,6,19,22
29,DF5,Logistic Regression,Random Under Sampler,10,0.7818181818181819,0.5111111111111111,0.6615384615384615,0.6571428571428571,0.7166666666666666,0.575,65.0,35.0,43,12,23,22
30,DF5,Logistic Regression,Random Over Sampler,1,0.9137931034482759,0.5714285714285714,0.7464788732394366,0.8275862068965517,0.8217054263565892,0.676056338028169,71.0,29.0,53,5,24,18
31,DF5,Logistic Regression,Random Over Sampler,2,0.7903225806451613,0.4473684210526316,0.7,0.5666666666666667,0.7424242424242423,0.5,70.0,30.0,49,13,17,21
32,DF5,Logistic Regression,Random Over Sampler,3,0.8387096774193549,0.5789473684210527,0.7647058823529411,0.6875,0.7999999999999999,0.6285714285714286,68.0,32.0,52,10,22,16
33,DF5,Logistic Regression,Random Over Sampler,4,0.8507462686567164,0.5151515151515151,0.7808219178082192,0.6296296296296297,0.8142857142857143,0.5666666666666667,73.0,27.0,57,10,17,16
34,DF5,Logistic Regression,Random Over Sampler,5,0.85,0.5,0.7183098591549296,0.6896551724137931,0.7786259541984734,0.5797101449275363,71.0,29.0,51,9,20,20
35,DF5,Logistic Regression,Random Over Sampler,6,0.7647058823529411,0.5306122448979592,0.6290322580645161,0.6842105263157895,0.6902654867256637,0.5977011494252874,62.0,38.0,39,12,26,23
