,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF5,RandomForestClassifier,None,1,0.7901234567901234,0.631578947368421,0.9014084507042254,0.41379310344827586,0.8421052631578947,0.5,71.0,29.0,64,17,12,7
1,DF5,RandomForestClassifier,None,2,0.7976190476190477,0.8125,0.9571428571428572,0.43333333333333335,0.8701298701298702,0.5652173913043479,70.0,30.0,67,17,13,3
2,DF5,RandomForestClassifier,None,3,0.7375,0.55,0.8676470588235294,0.34375,0.7972972972972973,0.42307692307692313,68.0,32.0,59,21,11,9
3,DF5,RandomForestClassifier,None,4,0.7582417582417582,0.5555555555555556,0.9452054794520548,0.18518518518518517,0.8414634146341463,0.2777777777777778,73.0,27.0,69,22,5,4
4,DF5,RandomForestClassifier,None,5,0.7710843373493976,0.5882352941176471,0.9014084507042254,0.3448275862068966,0.8311688311688312,0.4347826086956522,71.0,29.0,64,19,10,7
5,DF5,RandomForestClassifier,None,6,0.6511627906976745,0.5714285714285714,0.9032258064516129,0.21052631578947367,0.7567567567567568,0.3076923076923077,62.0,38.0,56,30,8,6
6,DF5,RandomForestClassifier,None,7,0.8,0.4,0.8831168831168831,0.2608695652173913,0.8395061728395061,0.31578947368421056,77.0,23.0,68,17,6,9
7,DF5,RandomForestClassifier,None,8,0.7848101265822784,0.7142857142857143,0.9117647058823529,0.46875,0.8435374149659863,0.5660377358490566,68.0,32.0,62,17,15,6
8,DF5,RandomForestClassifier,None,9,0.8313253012048193,0.6470588235294118,0.92,0.44,0.8734177215189873,0.5238095238095238,75.0,25.0,69,14,11,6
9,DF5,RandomForestClassifier,None,10,0.7195121951219512,0.6666666666666666,0.9076923076923077,0.34285714285714286,0.802721088435374,0.4528301886792453,65.0,35.0,59,23,12,6
10,DF5,RandomForestClassifier,SMOTE,1,0.835820895522388,0.5454545454545454,0.7887323943661971,0.6206896551724138,0.8115942028985507,0.5806451612903226,71.0,29.0,56,11,18,15
11,DF5,RandomForestClassifier,SMOTE,2,0.8026315789473685,0.625,0.8714285714285714,0.5,0.8356164383561644,0.5555555555555556,70.0,30.0,61,15,15,9
12,DF5,RandomForestClassifier,SMOTE,3,0.7432432432432432,0.5,0.8088235294117647,0.40625,0.7746478873239436,0.4482758620689655,68.0,32.0,55,19,13,13
13,DF5,RandomForestClassifier,SMOTE,4,0.8133333333333334,0.52,0.8356164383561644,0.48148148148148145,0.8243243243243243,0.5,73.0,27.0,61,14,13,12
14,DF5,RandomForestClassifier,SMOTE,5,0.7435897435897436,0.4090909090909091,0.8169014084507042,0.3103448275862069,0.778523489932886,0.35294117647058826,71.0,29.0,58,20,9,13
15,DF5,RandomForestClassifier,SMOTE,6,0.7058823529411765,0.5625,0.7741935483870968,0.47368421052631576,0.7384615384615385,0.5142857142857142,62.0,38.0,48,20,18,14
16,DF5,RandomForestClassifier,SMOTE,7,0.8311688311688312,0.43478260869565216,0.8311688311688312,0.43478260869565216,0.8311688311688312,0.43478260869565216,77.0,23.0,64,13,10,13
17,DF5,RandomForestClassifier,SMOTE,8,0.8051948051948052,0.7391304347826086,0.9117647058823529,0.53125,0.8551724137931035,0.6181818181818182,68.0,32.0,62,15,17,6
18,DF5,RandomForestClassifier,SMOTE,9,0.881578947368421,0.6666666666666666,0.8933333333333333,0.64,0.8874172185430463,0.6530612244897959,75.0,25.0,67,9,16,8
19,DF5,RandomForestClassifier,SMOTE,10,0.75,0.6071428571428571,0.8307692307692308,0.4857142857142857,0.7883211678832116,0.5396825396825397,65.0,35.0,54,18,17,11
20,DF5,RandomForestClassifier,Random Under Sampler,1,0.9272727272727272,0.5555555555555556,0.7183098591549296,0.8620689655172413,0.8095238095238096,0.6756756756756757,71.0,29.0,51,4,25,20
21,DF5,RandomForestClassifier,Random Under Sampler,2,0.7794117647058824,0.46875,0.7571428571428571,0.5,0.7681159420289856,0.4838709677419355,70.0,30.0,53,15,15,17
22,DF5,RandomForestClassifier,Random Under Sampler,3,0.7575757575757576,0.47058823529411764,0.7352941176470589,0.5,0.746268656716418,0.48484848484848486,68.0,32.0,50,16,16,18
23,DF5,RandomForestClassifier,Random Under Sampler,4,0.8235294117647058,0.46875,0.7671232876712328,0.5555555555555556,0.7943262411347518,0.5084745762711864,73.0,27.0,56,12,15,17
24,DF5,RandomForestClassifier,Random Under Sampler,5,0.8703703703703703,0.4782608695652174,0.6619718309859155,0.7586206896551724,0.752,0.5866666666666667,71.0,29.0,47,7,22,24
25,DF5,RandomForestClassifier,Random Under Sampler,6,0.7333333333333333,0.55,0.7096774193548387,0.5789473684210527,0.7213114754098361,0.5641025641025641,62.0,38.0,44,16,22,18
26,DF5,RandomForestClassifier,Random Under Sampler,7,0.8484848484848485,0.38235294117647056,0.7272727272727273,0.5652173913043478,0.7832167832167832,0.45614035087719296,77.0,23.0,56,10,13,21
27,DF5,RandomForestClassifier,Random Under Sampler,8,0.8620689655172413,0.5714285714285714,0.7352941176470589,0.75,0.7936507936507937,0.6486486486486486,68.0,32.0,50,8,24,18
28,DF5,RandomForestClassifier,Random Under Sampler,9,0.896551724137931,0.4523809523809524,0.6933333333333334,0.76,0.7819548872180451,0.5671641791044777,75.0,25.0,52,6,19,23
29,DF5,RandomForestClassifier,Random Under Sampler,10,0.7936507936507936,0.5945945945945946,0.7692307692307693,0.6285714285714286,0.7812500000000001,0.611111111111111,65.0,35.0,50,13,22,15
30,DF5,RandomForestClassifier,Random Over Sampler,1,0.8133333333333334,0.6,0.8591549295774648,0.5172413793103449,0.8356164383561644,0.5555555555555556,71.0,29.0,61,14,15,10
31,DF5,RandomForestClassifier,Random Over Sampler,2,0.7922077922077922,0.6086956521739131,0.8714285714285714,0.4666666666666667,0.8299319727891157,0.5283018867924527,70.0,30.0,61,16,14,9
32,DF5,RandomForestClassifier,Random Over Sampler,3,0.7435897435897436,0.5454545454545454,0.8529411764705882,0.375,0.7945205479452054,0.4444444444444444,68.0,32.0,58,20,12,10
33,DF5,RandomForestClassifier,Random Over Sampler,4,0.8170731707317073,0.6666666666666666,0.9178082191780822,0.4444444444444444,0.864516129032258,0.5333333333333333,73.0,27.0,67,15,12,6
34,DF5,RandomForestClassifier,Random Over Sampler,5,0.7215189873417721,0.3333333333333333,0.8028169014084507,0.2413793103448276,0.76,0.28,71.0,29.0,57,22,7,14
35,DF5,RandomForestClassifier,Random Over Sampler,6,0.654320987654321,0.5263157894736842,0.8548387096774194,0.2631578947368421,0.7412587412587414,0.35087719298245607,62.0,38.0,53,28,10,9
36,DF5,RandomForestClassifier,Random Over Sampler,7,0.8354430379746836,0.47619047619047616,0.8571428571428571,0.43478260869565216,0.846153846153846,0.4545454545454545,77.0,23.0,66,13,10,11
37,DF5,RandomForestClassifier,Random Over Sampler,8,0.759493670886076,0.6190476190476191,0.8823529411764706,0.40625,0.8163265306122449,0.49056603773584906,68.0,32.0,60,19,13,8
38,DF5,RandomForestClassifier,Random Over Sampler,9,0.8333333333333334,0.5454545454545454,0.8666666666666667,0.48,0.8496732026143791,0.5106382978723404,75.0,25.0,65,13,12,10
39,DF5,RandomForestClassifier,Random Over Sampler,10,0.7037037037037037,0.5789473684210527,0.8769230769230769,0.3142857142857143,0.7808219178082192,0.40740740740740744,65.0,35.0,57,24,11,8
