,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF5,SVC,None,1,0.71,0.0,1.0,0.0,0.8304093567251462,0.0,71.0,29.0,71,29,0,0
1,DF5,SVC,None,2,0.7,0.0,1.0,0.0,0.8235294117647058,0.0,70.0,30.0,70,30,0,0
2,DF5,SVC,None,3,0.68,0.0,1.0,0.0,0.8095238095238095,0.0,68.0,32.0,68,32,0,0
3,DF5,SVC,None,4,0.73,0.0,1.0,0.0,0.8439306358381503,0.0,73.0,27.0,73,27,0,0
4,DF5,SVC,None,5,0.71,0.0,1.0,0.0,0.8304093567251462,0.0,71.0,29.0,71,29,0,0
5,DF5,SVC,None,6,0.62,0.0,1.0,0.0,0.7654320987654321,0.0,62.0,38.0,62,38,0,0
6,DF5,SVC,None,7,0.77,0.0,1.0,0.0,0.8700564971751412,0.0,77.0,23.0,77,23,0,0
7,DF5,SVC,None,8,0.68,0.0,1.0,0.0,0.8095238095238095,0.0,68.0,32.0,68,32,0,0
8,DF5,SVC,None,9,0.75,0.0,1.0,0.0,0.8571428571428571,0.0,75.0,25.0,75,25,0,0
9,DF5,SVC,None,10,0.65,0.0,1.0,0.0,0.787878787878788,0.0,65.0,35.0,65,35,0,0
10,DF5,SVC,SMOTE,1,0.7608695652173914,0.3333333333333333,0.49295774647887325,0.6206896551724138,0.5982905982905984,0.4337349397590361,71.0,29.0,35,11,18,36
11,DF5,SVC,SMOTE,2,0.7073170731707317,0.3050847457627119,0.4142857142857143,0.6,0.5225225225225225,0.40449438202247195,70.0,30.0,29,12,18,41
12,DF5,SVC,SMOTE,3,0.6842105263157895,0.32558139534883723,0.5735294117647058,0.4375,0.6239999999999999,0.37333333333333335,68.0,32.0,39,18,14,29
13,DF5,SVC,SMOTE,4,0.75,0.2857142857142857,0.4520547945205479,0.5925925925925926,0.564102564102564,0.3855421686746988,73.0,27.0,33,11,16,40
14,DF5,SVC,SMOTE,5,0.7073170731707317,0.288135593220339,0.4084507042253521,0.5862068965517241,0.5178571428571428,0.38636363636363635,71.0,29.0,29,12,17,42
15,DF5,SVC,SMOTE,6,0.6521739130434783,0.4074074074074074,0.4838709677419355,0.5789473684210527,0.5555555555555556,0.47826086956521735,62.0,38.0,30,16,22,32
16,DF5,SVC,SMOTE,7,0.7380952380952381,0.20689655172413793,0.4025974025974026,0.5217391304347826,0.5210084033613446,0.2962962962962963,77.0,23.0,31,11,12,46
17,DF5,SVC,SMOTE,8,0.7045454545454546,0.3392857142857143,0.45588235294117646,0.59375,0.5535714285714286,0.4318181818181819,68.0,32.0,31,13,19,37
18,DF5,SVC,SMOTE,9,0.7105263157894737,0.22580645161290322,0.36,0.56,0.4778761061946902,0.3218390804597701,75.0,25.0,27,11,14,48
19,DF5,SVC,SMOTE,10,0.7045454545454546,0.39285714285714285,0.47692307692307695,0.6285714285714286,0.5688073394495413,0.4835164835164835,65.0,35.0,31,13,22,34
20,DF5,SVC,Random Under Sampler,1,0.717391304347826,0.2962962962962963,0.4647887323943662,0.5517241379310345,0.5641025641025642,0.38554216867469876,71.0,29.0,33,13,16,38
21,DF5,SVC,Random Under Sampler,2,0.7045454545454546,0.30357142857142855,0.44285714285714284,0.5666666666666667,0.543859649122807,0.39534883720930225,70.0,30.0,31,13,17,39
22,DF5,SVC,Random Under Sampler,3,0.6896551724137931,0.3333333333333333,0.5882352941176471,0.4375,0.6349206349206349,0.37837837837837834,68.0,32.0,40,18,14,28
23,DF5,SVC,Random Under Sampler,4,0.7333333333333333,0.2727272727272727,0.4520547945205479,0.5555555555555556,0.5593220338983051,0.36585365853658536,73.0,27.0,33,12,15,40
24,DF5,SVC,Random Under Sampler,5,0.7435897435897436,0.3114754098360656,0.4084507042253521,0.6551724137931034,0.5272727272727273,0.4222222222222222,71.0,29.0,29,10,19,42
25,DF5,SVC,Random Under Sampler,6,0.6326530612244898,0.39215686274509803,0.5,0.5263157894736842,0.5585585585585586,0.449438202247191,62.0,38.0,31,18,20,31
26,DF5,SVC,Random Under Sampler,7,0.7317073170731707,0.2033898305084746,0.38961038961038963,0.5217391304347826,0.5084745762711864,0.29268292682926833,77.0,23.0,30,11,12,47
