,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF7,Word2Vec - Linear Regression,None,1,0.8356164383561644,0.6296296296296297,0.8591549295774648,0.5862068965517241,0.8472222222222222,0.6071428571428571,71.0,29.0,61,12,17,10
1,DF7,Word2Vec - Linear Regression,None,2,0.7529411764705882,0.6,0.9142857142857143,0.3,0.8258064516129033,0.4,70.0,30.0,64,21,9,6
2,DF7,Word2Vec - Linear Regression,None,3,0.7032967032967034,0.5555555555555556,0.9411764705882353,0.15625,0.8050314465408807,0.24390243902439024,68.0,32.0,64,27,5,4
3,DF7,Word2Vec - Linear Regression,None,4,0.8360655737704918,0.4358974358974359,0.6986301369863014,0.6296296296296297,0.7611940298507464,0.5151515151515151,73.0,27.0,51,10,17,22
4,DF7,Word2Vec - Linear Regression,None,5,0.8253968253968254,0.4864864864864865,0.7323943661971831,0.6206896551724138,0.7761194029850745,0.5454545454545455,71.0,29.0,52,11,18,19
5,DF7,Word2Vec - Linear Regression,None,6,0.6588235294117647,0.6,0.9032258064516129,0.23684210526315788,0.761904761904762,0.339622641509434,62.0,38.0,56,29,9,6
6,DF7,Word2Vec - Linear Regression,None,7,0.8448275862068966,0.3333333333333333,0.6363636363636364,0.6086956521739131,0.7259259259259259,0.4307692307692308,77.0,23.0,49,9,14,28
7,DF7,Word2Vec - Linear Regression,None,8,0.8208955223880597,0.6060606060606061,0.8088235294117647,0.625,0.8148148148148148,0.6153846153846154,68.0,32.0,55,12,20,13
8,DF7,Word2Vec - Linear Regression,None,9,0.855072463768116,0.4838709677419355,0.7866666666666666,0.6,0.8194444444444444,0.5357142857142857,75.0,25.0,59,10,15,16
9,DF7,Word2Vec - Linear Regression,None,10,0.7142857142857143,0.5652173913043478,0.8461538461538461,0.37142857142857144,0.7746478873239436,0.4482758620689655,65.0,35.0,55,22,13,10
10,DF7,Word2Vec - Linear Regression,Random Under Sampler,1,0.7916666666666666,0.7058823529411765,0.6551724137931034,0.8275862068965517,0.7169811320754716,0.7619047619047619,29.0,29.0,19,5,24,10
11,DF7,Word2Vec - Linear Regression,Random Under Sampler,2,0.8,0.65,0.5333333333333333,0.8666666666666667,0.64,0.7428571428571429,30.0,30.0,16,4,26,14
12,DF7,Word2Vec - Linear Regression,Random Under Sampler,3,0.6774193548387096,0.6666666666666666,0.65625,0.6875,0.6666666666666667,0.676923076923077,32.0,32.0,21,10,22,11
13,DF7,Word2Vec - Linear Regression,Random Under Sampler,4,0.7142857142857143,0.7307692307692307,0.7407407407407407,0.7037037037037037,0.7272727272727273,0.7169811320754716,27.0,27.0,20,8,19,7
14,DF7,Word2Vec - Linear Regression,Random Under Sampler,5,0.7241379310344828,0.7241379310344828,0.7241379310344828,0.7241379310344828,0.7241379310344829,0.7241379310344829,29.0,29.0,21,8,21,8
15,DF7,Word2Vec - Linear Regression,Random Under Sampler,6,0.58,0.6538461538461539,0.7631578947368421,0.4473684210526316,0.6590909090909091,0.53125,38.0,38.0,29,21,17,9
