,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF7a,Word2Vec - Linear Regression,None,1,0.8356164383561644,0.6296296296296297,0.8591549295774648,0.5862068965517241,0.8472222222222222,0.6071428571428571,71.0,29.0,61,12,17,10
1,DF7a,Word2Vec - Linear Regression,None,2,0.7875,0.65,0.9,0.43333333333333335,0.84,0.5199999999999999,70.0,30.0,63,17,13,7
2,DF7a,Word2Vec - Linear Regression,None,3,0.7375,0.55,0.8676470588235294,0.34375,0.7972972972972973,0.42307692307692313,68.0,32.0,59,21,11,9
3,DF7a,Word2Vec - Linear Regression,None,4,0.7976190476190477,0.625,0.9178082191780822,0.37037037037037035,0.8535031847133758,0.4651162790697674,73.0,27.0,67,17,10,6
4,DF7a,Word2Vec - Linear Regression,None,5,0.7534246575342466,0.4074074074074074,0.7746478873239436,0.3793103448275862,0.7638888888888888,0.39285714285714285,71.0,29.0,55,18,11,16
5,DF7a,Word2Vec - Linear Regression,None,6,0.6666666666666666,0.52,0.8064516129032258,0.34210526315789475,0.7299270072992701,0.41269841269841273,62.0,38.0,50,25,13,12
6,DF7a,Word2Vec - Linear Regression,None,7,0.7948717948717948,0.3181818181818182,0.8051948051948052,0.30434782608695654,0.8,0.31111111111111117,77.0,23.0,62,16,7,15
7,DF7a,Word2Vec - Linear Regression,None,8,0.7875,0.75,0.9264705882352942,0.46875,0.8513513513513514,0.5769230769230769,68.0,32.0,63,17,15,5
8,DF7a,Word2Vec - Linear Regression,None,9,0.8333333333333334,0.5454545454545454,0.8666666666666667,0.48,0.8496732026143791,0.5106382978723404,75.0,25.0,65,13,12,10
9,DF7a,Word2Vec - Linear Regression,None,10,0.75,0.6666666666666666,0.8769230769230769,0.45714285714285713,0.8085106382978723,0.5423728813559322,65.0,35.0,57,19,16,8
10,DF7a,Word2Vec - Linear Regression,Random Under Sampler,1,0.8076923076923077,0.75,0.7241379310344828,0.8275862068965517,0.7636363636363636,0.7868852459016394,29.0,29.0,21,5,24,8
11,DF7a,Word2Vec - Linear Regression,Random Under Sampler,2,0.6428571428571429,0.625,0.6,0.6666666666666666,0.6206896551724138,0.6451612903225806,30.0,30.0,18,10,20,12
12,DF7a,Word2Vec - Linear Regression,Random Under Sampler,3,0.7575757575757576,0.7741935483870968,0.78125,0.75,0.7692307692307692,0.7619047619047619,32.0,32.0,25,8,24,7
13,DF7a,Word2Vec - Linear Regression,Random Under Sampler,4,0.6785714285714286,0.6923076923076923,0.7037037037037037,0.6666666666666666,0.6909090909090909,0.6792452830188679,27.0,27.0,19,9,18,8
14,DF7a,Word2Vec - Linear Regression,Random Under Sampler,5,0.72,0.6666666666666666,0.6206896551724138,0.7586206896551724,0.6666666666666666,0.7096774193548386,29.0,29.0,18,7,22,11
15,DF7a,Word2Vec - Linear Regression,Random Under Sampler,6,0.5862068965517241,0.5531914893617021,0.4473684210526316,0.6842105263157895,0.5074626865671642,0.611764705882353,38.0,38.0,17,12,26,21
16,DF7a,Word2Vec - Linear Regression,Random Under Sampler,7,0.6,0.6190476190476191,0.6521739130434783,0.5652173913043478,0.6250000000000001,0.5909090909090909,23.0,23.0,15,10,13,8
17,DF7a,Word2Vec - Linear Regression,Random Under Sampler,8,0.75,0.6944444444444444,0.65625,0.78125,0.7,0.7352941176470588,32.0,32.0,21,7,25,11
18,DF7a,Word2Vec - Linear Regression,Random Under Sampler,9,0.6666666666666666,0.6538461538461539,0.64,0.68,0.6530612244897959,0.6666666666666666,25.0,25.0,16,8,17,9
19,DF7a,Word2Vec - Linear Regression,Random Under Sampler,10,0.7666666666666667,0.7,0.6571428571428571,0.8,0.7076923076923077,0.7466666666666666,35.0,35.0,23,7,28,12
20,DF7a,Word2Vec - Linear Regression,Random Over Sampler,1,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7931034482758621,29.0,29.0,23,6,23,6
21,DF7a,Word2Vec - Linear Regression,Random Over Sampler,2,0.6,0.6,0.6,0.6,0.6,0.6,30.0,30.0,18,12,18,12
22,DF7a,Word2Vec - Linear Regression,Random Over Sampler,3,0.7272727272727273,0.7419354838709677,0.75,0.71875,0.7384615384615384,0.7301587301587302,32.0,32.0,24,9,23,8
23,DF7a,Word2Vec - Linear Regression,Random Over Sampler,4,0.6451612903225806,0.6956521739130435,0.7407407407407407,0.5925925925925926,0.689655172413793,0.6399999999999999,27.0,27.0,20,11,16,7
24,DF7a,Word2Vec - Linear Regression,Random Over Sampler,5,0.7307692307692307,0.6875,0.6551724137931034,0.7586206896551724,0.6909090909090909,0.7213114754098361,29.0,29.0,19,7,22,10
25,DF7a,Word2Vec - Linear Regression,Random Over Sampler,6,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,38.0,38.0,22,16,22,16
26,DF7a,Word2Vec - Linear Regression,Random Over Sampler,7,0.6363636363636364,0.625,0.6086956521739131,0.6521739130434783,0.6222222222222223,0.6382978723404256,23.0,23.0,14,8,15,9
27,DF7a,Word2Vec - Linear Regression,Random Over Sampler,8,0.8333333333333334,0.7,0.625,0.875,0.7142857142857143,0.7777777777777777,32.0,32.0,20,4,28,12
28,DF7a,Word2Vec - Linear Regression,Random Over Sampler,9,0.5555555555555556,0.5652173913043478,0.6,0.52,0.576923076923077,0.5416666666666667,25.0,25.0,15,12,13,10
29,DF7a,Word2Vec - Linear Regression,Random Over Sampler,10,0.696969696969697,0.6756756756756757,0.6571428571428571,0.7142857142857143,0.676470588235294,0.6944444444444444,35.0,35.0,23,10,25,12
