,dataset,model,data balancing technique,fold,precision_1,precision_2,recall_1,recall_2,f1-score_1,f1-score_2,support_1,support_2,TP,FP,TN,FN
0,DF5,XGBClassifier,None,1,0.8676470588235294,0.625,0.8309859154929577,0.6896551724137931,0.8489208633093526,0.6557377049180328,71.0,29.0,59,9,20,12
1,DF5,XGBClassifier,None,2,0.8076923076923077,0.6818181818181818,0.9,0.5,0.8513513513513514,0.576923076923077,70.0,30.0,63,15,15,7
2,DF5,XGBClassifier,None,3,0.7468354430379747,0.5714285714285714,0.8676470588235294,0.375,0.8027210884353742,0.4528301886792453,68.0,32.0,59,20,12,9
3,DF5,XGBClassifier,None,4,0.8095238095238095,0.6875,0.9315068493150684,0.4074074074074074,0.8662420382165604,0.5116279069767441,73.0,27.0,68,16,11,5
4,DF5,XGBClassifier,None,5,0.7971014492753623,0.4838709677419355,0.7746478873239436,0.5172413793103449,0.7857142857142857,0.5000000000000001,71.0,29.0,55,14,15,16
5,DF5,XGBClassifier,None,6,0.6883116883116883,0.6086956521739131,0.8548387096774194,0.3684210526315789,0.762589928057554,0.4590163934426229,62.0,38.0,53,24,14,9
6,DF5,XGBClassifier,None,7,0.875,0.5,0.8181818181818182,0.6086956521739131,0.8456375838926175,0.5490196078431373,77.0,23.0,63,9,14,14
7,DF5,XGBClassifier,None,8,0.8450704225352113,0.7241379310344828,0.8823529411764706,0.65625,0.8633093525179857,0.6885245901639345,68.0,32.0,60,11,21,8
8,DF5,XGBClassifier,None,9,0.8533333333333334,0.56,0.8533333333333334,0.56,0.8533333333333335,0.56,75.0,25.0,64,11,14,11
9,DF5,XGBClassifier,None,10,0.75,0.6071428571428571,0.8307692307692308,0.4857142857142857,0.7883211678832116,0.5396825396825397,65.0,35.0,54,18,17,11
10,DF5,XGBClassifier,SMOTE,1,0.8787878787878788,0.6176470588235294,0.8169014084507042,0.7241379310344828,0.8467153284671534,0.6666666666666667,71.0,29.0,58,8,21,13
11,DF5,XGBClassifier,SMOTE,2,0.8142857142857143,0.5666666666666667,0.8142857142857143,0.5666666666666667,0.8142857142857143,0.5666666666666667,70.0,30.0,57,13,17,13
12,DF5,XGBClassifier,SMOTE,3,0.7945205479452054,0.6296296296296297,0.8529411764705882,0.53125,0.8226950354609929,0.5762711864406779,68.0,32.0,58,15,17,10
13,DF5,XGBClassifier,SMOTE,4,0.8533333333333334,0.64,0.8767123287671232,0.5925925925925926,0.8648648648648648,0.6153846153846153,73.0,27.0,64,11,16,9
14,DF5,XGBClassifier,SMOTE,5,0.7575757575757576,0.38235294117647056,0.704225352112676,0.4482758620689655,0.7299270072992701,0.41269841269841273,71.0,29.0,50,16,13,21
15,DF5,XGBClassifier,SMOTE,6,0.6764705882352942,0.5,0.7419354838709677,0.42105263157894735,0.7076923076923077,0.45714285714285713,62.0,38.0,46,22,16,16
16,DF5,XGBClassifier,SMOTE,7,0.8695652173913043,0.45161290322580644,0.7792207792207793,0.6086956521739131,0.821917808219178,0.5185185185185185,77.0,23.0,60,9,14,17
17,DF5,XGBClassifier,SMOTE,8,0.8405797101449275,0.6774193548387096,0.8529411764705882,0.65625,0.8467153284671534,0.6666666666666667,68.0,32.0,58,11,21,10
18,DF5,XGBClassifier,SMOTE,9,0.8732394366197183,0.5517241379310345,0.8266666666666667,0.64,0.8493150684931506,0.5925925925925927,75.0,25.0,62,9,16,13
19,DF5,XGBClassifier,SMOTE,10,0.7647058823529411,0.59375,0.8,0.5428571428571428,0.7819548872180452,0.5671641791044776,65.0,35.0,52,16,19,13
20,DF5,XGBClassifier,Random Under Sampler,1,0.9272727272727272,0.5555555555555556,0.7183098591549296,0.8620689655172413,0.8095238095238096,0.6756756756756757,71.0,29.0,51,4,25,20
21,DF5,XGBClassifier,Random Under Sampler,2,0.8688524590163934,0.5641025641025641,0.7571428571428571,0.7333333333333333,0.8091603053435115,0.6376811594202899,70.0,30.0,53,8,22,17
22,DF5,XGBClassifier,Random Under Sampler,3,0.7704918032786885,0.46153846153846156,0.6911764705882353,0.5625,0.7286821705426356,0.5070422535211268,68.0,32.0,47,14,18,21
23,DF5,XGBClassifier,Random Under Sampler,4,0.8939393939393939,0.5882352941176471,0.8082191780821918,0.7407407407407407,0.8489208633093526,0.6557377049180328,73.0,27.0,59,7,20,14
24,DF5,XGBClassifier,Random Under Sampler,5,0.8148148148148148,0.41304347826086957,0.6197183098591549,0.6551724137931034,0.704,0.5066666666666666,71.0,29.0,44,10,19,27
25,DF5,XGBClassifier,Random Under Sampler,6,0.711864406779661,0.5121951219512195,0.6774193548387096,0.5526315789473685,0.6942148760330579,0.5316455696202531,62.0,38.0,42,17,21,20
26,DF5,XGBClassifier,Random Under Sampler,7,0.8813559322033898,0.3902439024390244,0.6753246753246753,0.6956521739130435,0.7647058823529411,0.5000000000000001,77.0,23.0,52,7,16,25
27,DF5,XGBClassifier,Random Under Sampler,8,0.8541666666666666,0.4807692307692308,0.6029411764705882,0.78125,0.706896551724138,0.5952380952380952,68.0,32.0,41,7,25,27
