,account_balance,duration,credit_history,purpose,credit_amount,savings_bond_value,employed_since,intallment_rate,sex_marital,guarantor,residence_since,property,age,other_installment_plans,type_of_housing,nr_of_existing_credits,job,number_of_dependents,telephone,foreign,target
0,0,0,4,4,1,4,4,3,2,0,3,0,9,2,1,1,2,0,1,0,1
1,1,7,2,4,8,0,2,1,1,0,1,0,0,2,1,0,2,0,0,0,2
2,3,1,4,7,4,0,3,1,2,0,2,0,8,2,1,0,1,1,0,0,1
3,0,7,2,3,9,0,3,1,2,2,3,1,7,2,2,0,2,1,0,0,1
4,0,4,3,0,8,0,2,2,2,0,3,3,9,2,2,1,2,1,0,0,2
5,3,6,2,7,9,4,2,1,2,0,3,3,5,2,2,0,1,1,1,0,1
6,3,4,2,3,5,2,4,2,2,0,3,1,9,2,1,0,2,0,0,0,1
7,1,6,2,1,8,0,2,1,2,0,1,2,5,2,0,0,3,0,1,0,1
8,3,1,2,4,6,3,3,1,0,0,3,0,9,2,1,0,1,0,0,0,1
9,1,5,4,0,8,0,0,3,3,0,1,2,2,2,1,1,3,0,0,0,2
10,1,1,2,0,2,0,1,2,1,0,0,2,1,2,0,0,2,0,0,0,2
11,0,7,2,9,7,0,1,2,1,0,3,1,1,2,0,0,2,0,0,0,2
12,1,1,2,4,3,0,2,0,1,0,0,2,0,2,1,0,2,0,1,0,1
13,0,4,4,0,1,0,4,3,2,0,3,2,9,2,1,1,1,0,0,0,2
14,0,2,2,0,2,0,2,1,1,0,3,2,2,2,0,0,2,0,0,0,1
15,0,4,2,4,2,1,2,3,1,0,1,2,4,2,1,0,1,0,0,0,2
16,3,4,4,4,5,4,4,3,2,0,3,1,9,2,1,1,2,0,0,0,1
17,0,5,0,9,9,4,1,1,2,0,2,2,1,0,1,2,2,0,0,0,1
18,1,4,2,1,9,0,4,3,1,0,1,3,7,2,2,0,3,0,1,0,2
19,3,4,2,4,6,2,4,2,2,0,1,2,4,2,1,0,2,1,1,0,1
20,3,0,4,0,4,0,2,3,2,0,3,2,8,2,1,2,2,0,1,0,1
21,0,0,2,4,5,2,2,1,2,0,2,0,7,2,0,0,2,1,0,0,1
22,0,1,4,0,4,0,1,0,2,0,2,0,8,2,0,1,1,1,0,1,1
23,1,1,4,1,3,1,1,2,2,0,3,1,7,2,1,0,2,0,0,0,1
24,3,1,4,3,4,4,2,1,3,0,0,2,1,2,1,1,2,0,0,1,1
25,0,0,2,3,2,0,2,0,2,0,1,0,5,0,1,0,1,0,1,0,1
26,3,0,0,4,0,0,4,3,3,0,3,2,6,2,1,0,1,0,0,0,1
27,2,1,1,4,0,3,2,2,1,0,2,0,7,2,0,1,2,0,0,0,1
28,1,0,2,4,5,0,2,2,2,2,1,0,5,2,1,0,2,0,0,0,1
29,0,7,3,9,8,0,4,2,2,0,3,3,9,2,1,1,2,0,1,0,2
