,account_balance,duration,credit_history,purpose,credit_amount,savings_bond_value,employed_since,intallment_rate,sex_marital,guarantor,residence_since,property,age,other_installment_plans,type_of_housing,nr_of_existing_credits,job,number_of_dependents,telephone,foreign,target,content
0,A11,A20,A34,A43,A51,A65,A75,A84,A93,A101,A114,A121,A139,A143,A152,A162,A173,A181,A192,A201,__label__1,__label__1 A11 A20 A34 A43 A51 A65 A75 A84 A93 A101 A114 A121 A139 A143 A152 A162 A173 A181 A192 A201
1,A12,A27,A32,A43,A58,A61,A73,A82,A92,A101,A112,A121,A130,A143,A152,A161,A173,A181,A191,A201,__label__2,__label__2 A12 A27 A32 A43 A58 A61 A73 A82 A92 A101 A112 A121 A130 A143 A152 A161 A173 A181 A191 A201
2,A14,A21,A34,A46,A54,A61,A74,A82,A93,A101,A113,A121,A138,A143,A152,A161,A172,A182,A191,A201,__label__1,__label__1 A14 A21 A34 A46 A54 A61 A74 A82 A93 A101 A113 A121 A138 A143 A152 A161 A172 A182 A191 A201
3,A11,A27,A32,A42,A59,A61,A74,A82,A93,A103,A114,A122,A137,A143,A153,A161,A173,A182,A191,A201,__label__1,__label__1 A11 A27 A32 A42 A59 A61 A74 A82 A93 A103 A114 A122 A137 A143 A153 A161 A173 A182 A191 A201
4,A11,A24,A33,A40,A58,A61,A73,A83,A93,A101,A114,A124,A139,A143,A153,A162,A173,A182,A191,A201,__label__2,__label__2 A11 A24 A33 A40 A58 A61 A73 A83 A93 A101 A114 A124 A139 A143 A153 A162 A173 A182 A191 A201
5,A14,A26,A32,A46,A59,A65,A73,A82,A93,A101,A114,A124,A135,A143,A153,A161,A172,A182,A192,A201,__label__1,__label__1 A14 A26 A32 A46 A59 A65 A73 A82 A93 A101 A114 A124 A135 A143 A153 A161 A172 A182 A192 A201
6,A14,A24,A32,A42,A55,A63,A75,A83,A93,A101,A114,A122,A139,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A14 A24 A32 A42 A55 A63 A75 A83 A93 A101 A114 A122 A139 A143 A152 A161 A173 A181 A191 A201
7,A12,A26,A32,A41,A58,A61,A73,A82,A93,A101,A112,A123,A135,A143,A151,A161,A174,A181,A192,A201,__label__1,__label__1 A12 A26 A32 A41 A58 A61 A73 A82 A93 A101 A112 A123 A135 A143 A151 A161 A174 A181 A192 A201
8,A14,A21,A32,A43,A56,A64,A74,A82,A91,A101,A114,A121,A139,A143,A152,A161,A172,A181,A191,A201,__label__1,__label__1 A14 A21 A32 A43 A56 A64 A74 A82 A91 A101 A114 A121 A139 A143 A152 A161 A172 A181 A191 A201
9,A12,A25,A34,A40,A58,A61,A71,A84,A94,A101,A112,A123,A132,A143,A152,A162,A174,A181,A191,A201,__label__2,__label__2 A12 A25 A34 A40 A58 A61 A71 A84 A94 A101 A112 A123 A132 A143 A152 A162 A174 A181 A191 A201
