,account_balance,duration,credit_history,purpose,credit_amount,savings_bond_value,employed_since,intallment_rate,sex_marital,guarantor,residence_since,property,age,other_installment_plans,type_of_housing,nr_of_existing_credits,job,number_of_dependents,telephone,foreign,target,content
0,< 0,6,critical account/other credits existing (not at this bank),radio/television,1169,unknown/no savings account,>=7 years,4,male;single,bank,4,real estate,67,none,own,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 < 0 6 critical account/other credits existing (not at this bank) radio/television 1169 unknown/no savings account >=7 years 4 male;single bank 4 real estate 67 none own 2 skilled employee;official 1 Yes Yes
1,0-200 DM,48,existing credits paid back duly till now,radio/television,5951,< 100 DM,1-4 years,2,female;divorced/separated/married,bank,2,real estate,22,none,own,1,skilled employee;official,1,No,Yes,__label__2,__label__2 0-200 DM 48 existing credits paid back duly till now radio/television 5951 < 100 DM 1-4 years 2 female;divorced/separated/married bank 2 real estate 22 none own 1 skilled employee;official 1 No Yes
2,no checking account,12,critical account/other credits existing (not at this bank),education,2096,< 100 DM,4-7 years,2,male;single,bank,3,real estate,49,none,own,1,unskilled;resident,2,No,Yes,__label__1,__label__1 no checking account 12 critical account/other credits existing (not at this bank) education 2096 < 100 DM 4-7 years 2 male;single bank 3 real estate 49 none own 1 unskilled;resident 2 No Yes
3,< 0,42,existing credits paid back duly till now,furniture/equipment,7882,< 100 DM,4-7 years,2,male;single,none,4,building society savings agreement/life insurance,45,none,for free,1,skilled employee;official,2,No,Yes,__label__1,__label__1 < 0 42 existing credits paid back duly till now furniture/equipment 7882 < 100 DM 4-7 years 2 male;single none 4 building society savings agreement/life insurance 45 none for free 1 skilled employee;official 2 No Yes
4,< 0,24,delay in paying off in the past,car(new),4870,< 100 DM,1-4 years,3,male;single,bank,4,unknown / no property,53,none,for free,2,skilled employee;official,2,No,Yes,__label__2,__label__2 < 0 24 delay in paying off in the past car(new) 4870 < 100 DM 1-4 years 3 male;single bank 4 unknown / no property 53 none for free 2 skilled employee;official 2 No Yes
5,no checking account,36,existing credits paid back duly till now,education,9055,unknown/no savings account,1-4 years,2,male;single,bank,4,unknown / no property,35,none,for free,1,unskilled;resident,2,Yes,Yes,__label__1,__label__1 no checking account 36 existing credits paid back duly till now education 9055 unknown/no savings account 1-4 years 2 male;single bank 4 unknown / no property 35 none for free 1 unskilled;resident 2 Yes Yes
6,no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,500-1000 DM,>=7 years,3,male;single,bank,4,building society savings agreement/life insurance,53,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 24 existing credits paid back duly till now furniture/equipment 2835 500-1000 DM >=7 years 3 male;single bank 4 building society savings agreement/life insurance 53 none own 1 skilled employee;official 1 No Yes
7,0-200 DM,36,existing credits paid back duly till now,car(used),6948,< 100 DM,1-4 years,2,male;single,bank,2,car or other,35,none,rent,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 0-200 DM 36 existing credits paid back duly till now car(used) 6948 < 100 DM 1-4 years 2 male;single bank 2 car or other 35 none rent 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
8,no checking account,12,existing credits paid back duly till now,radio/television,3059,>=1000 DM,4-7 years,2,male;divorced/separated,bank,4,real estate,61,none,own,1,unskilled;resident,1,No,Yes,__label__1,__label__1 no checking account 12 existing credits paid back duly till now radio/television 3059 >=1000 DM 4-7 years 2 male;divorced/separated bank 4 real estate 61 none own 1 unskilled;resident 1 No Yes
9,0-200 DM,30,critical account/other credits existing (not at this bank),car(new),5234,< 100 DM,unemployed,4,male;married/widowed,bank,2,car or other,28,none,own,2,management/self-employed/highly qualified employee/officer,1,No,Yes,__label__2,__label__2 0-200 DM 30 critical account/other credits existing (not at this bank) car(new) 5234 < 100 DM unemployed 4 male;married/widowed bank 2 car or other 28 none own 2 management/self-employed/highly qualified employee/officer 1 No Yes
10,0-200 DM,12,existing credits paid back duly till now,car(new),1295,< 100 DM,<1 year,3,female;divorced/separated/married,bank,1,car or other,25,none,rent,1,skilled employee;official,1,No,Yes,__label__2,__label__2 0-200 DM 12 existing credits paid back duly till now car(new) 1295 < 100 DM <1 year 3 female;divorced/separated/married bank 1 car or other 25 none rent 1 skilled employee;official 1 No Yes
11,< 0,48,existing credits paid back duly till now,business,4308,< 100 DM,<1 year,3,female;divorced/separated/married,bank,4,building society savings agreement/life insurance,24,none,rent,1,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 48 existing credits paid back duly till now business 4308 < 100 DM <1 year 3 female;divorced/separated/married bank 4 building society savings agreement/life insurance 24 none rent 1 skilled employee;official 1 No Yes
12,0-200 DM,12,existing credits paid back duly till now,radio/television,1567,< 100 DM,1-4 years,1,female;divorced/separated/married,bank,1,car or other,22,none,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 0-200 DM 12 existing credits paid back duly till now radio/television 1567 < 100 DM 1-4 years 1 female;divorced/separated/married bank 1 car or other 22 none own 1 skilled employee;official 1 Yes Yes
13,< 0,24,critical account/other credits existing (not at this bank),car(new),1199,< 100 DM,>=7 years,4,male;single,bank,4,car or other,60,none,own,2,unskilled;resident,1,No,Yes,__label__2,__label__2 < 0 24 critical account/other credits existing (not at this bank) car(new) 1199 < 100 DM >=7 years 4 male;single bank 4 car or other 60 none own 2 unskilled;resident 1 No Yes
14,< 0,15,existing credits paid back duly till now,car(new),1403,< 100 DM,1-4 years,2,female;divorced/separated/married,bank,4,car or other,28,none,rent,1,skilled employee;official,1,No,Yes,__label__1,__label__1 < 0 15 existing credits paid back duly till now car(new) 1403 < 100 DM 1-4 years 2 female;divorced/separated/married bank 4 car or other 28 none rent 1 skilled employee;official 1 No Yes
15,< 0,24,existing credits paid back duly till now,radio/television,1282,100-500 DM,1-4 years,4,female;divorced/separated/married,bank,2,car or other,32,none,own,1,unskilled;resident,1,No,Yes,__label__2,__label__2 < 0 24 existing credits paid back duly till now radio/television 1282 100-500 DM 1-4 years 4 female;divorced/separated/married bank 2 car or other 32 none own 1 unskilled;resident 1 No Yes
16,no checking account,24,critical account/other credits existing (not at this bank),radio/television,2424,unknown/no savings account,>=7 years,4,male;single,bank,4,building society savings agreement/life insurance,53,none,own,2,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 24 critical account/other credits existing (not at this bank) radio/television 2424 unknown/no savings account >=7 years 4 male;single bank 4 building society savings agreement/life insurance 53 none own 2 skilled employee;official 1 No Yes
17,< 0,30,no credits taken/all credits paid back duly,business,8072,unknown/no savings account,<1 year,2,male;single,bank,3,car or other,25,bank,own,3,skilled employee;official,1,No,Yes,__label__1,__label__1 < 0 30 no credits taken/all credits paid back duly business 8072 unknown/no savings account <1 year 2 male;single bank 3 car or other 25 bank own 3 skilled employee;official 1 No Yes
18,0-200 DM,24,existing credits paid back duly till now,car(used),12579,< 100 DM,>=7 years,4,female;divorced/separated/married,bank,2,unknown / no property,44,none,for free,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__2,__label__2 0-200 DM 24 existing credits paid back duly till now car(used) 12579 < 100 DM >=7 years 4 female;divorced/separated/married bank 2 unknown / no property 44 none for free 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
19,no checking account,24,existing credits paid back duly till now,radio/television,3430,500-1000 DM,>=7 years,3,male;single,bank,2,car or other,31,none,own,1,skilled employee;official,2,Yes,Yes,__label__1,__label__1 no checking account 24 existing credits paid back duly till now radio/television 3430 500-1000 DM >=7 years 3 male;single bank 2 car or other 31 none own 1 skilled employee;official 2 Yes Yes
20,no checking account,9,critical account/other credits existing (not at this bank),car(new),2134,< 100 DM,1-4 years,4,male;single,bank,4,car or other,48,none,own,3,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 9 critical account/other credits existing (not at this bank) car(new) 2134 < 100 DM 1-4 years 4 male;single bank 4 car or other 48 none own 3 skilled employee;official 1 Yes Yes
21,< 0,6,existing credits paid back duly till now,radio/television,2647,500-1000 DM,1-4 years,2,male;single,bank,3,real estate,44,none,rent,1,skilled employee;official,2,No,Yes,__label__1,__label__1 < 0 6 existing credits paid back duly till now radio/television 2647 500-1000 DM 1-4 years 2 male;single bank 3 real estate 44 none rent 1 skilled employee;official 2 No Yes
22,< 0,10,critical account/other credits existing (not at this bank),car(new),2241,< 100 DM,<1 year,1,male;single,bank,3,real estate,48,none,rent,2,unskilled;resident,2,No,No,__label__1,__label__1 < 0 10 critical account/other credits existing (not at this bank) car(new) 2241 < 100 DM <1 year 1 male;single bank 3 real estate 48 none rent 2 unskilled;resident 2 No No
23,0-200 DM,12,critical account/other credits existing (not at this bank),car(used),1804,100-500 DM,<1 year,3,male;single,bank,4,building society savings agreement/life insurance,44,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 0-200 DM 12 critical account/other credits existing (not at this bank) car(used) 1804 100-500 DM <1 year 3 male;single bank 4 building society savings agreement/life insurance 44 none own 1 skilled employee;official 1 No Yes
24,no checking account,10,critical account/other credits existing (not at this bank),furniture/equipment,2069,unknown/no savings account,1-4 years,2,male;married/widowed,bank,1,car or other,26,none,own,2,skilled employee;official,1,No,No,__label__1,__label__1 no checking account 10 critical account/other credits existing (not at this bank) furniture/equipment 2069 unknown/no savings account 1-4 years 2 male;married/widowed bank 1 car or other 26 none own 2 skilled employee;official 1 No No
25,< 0,6,existing credits paid back duly till now,furniture/equipment,1374,< 100 DM,1-4 years,1,male;single,bank,2,real estate,36,bank,own,1,unskilled;resident,1,Yes,Yes,__label__1,__label__1 < 0 6 existing credits paid back duly till now furniture/equipment 1374 < 100 DM 1-4 years 1 male;single bank 2 real estate 36 bank own 1 unskilled;resident 1 Yes Yes
26,no checking account,6,no credits taken/all credits paid back duly,radio/television,426,< 100 DM,>=7 years,4,male;married/widowed,bank,4,car or other,39,none,own,1,unskilled;resident,1,No,Yes,__label__1,__label__1 no checking account 6 no credits taken/all credits paid back duly radio/television 426 < 100 DM >=7 years 4 male;married/widowed bank 4 car or other 39 none own 1 unskilled;resident 1 No Yes
27,>=200 DM,12,all credits at this bank paid back duly,radio/television,409,>=1000 DM,1-4 years,3,female;divorced/separated/married,bank,3,real estate,42,none,rent,2,skilled employee;official,1,No,Yes,__label__1,__label__1 >=200 DM 12 all credits at this bank paid back duly radio/television 409 >=1000 DM 1-4 years 3 female;divorced/separated/married bank 3 real estate 42 none rent 2 skilled employee;official 1 No Yes
28,0-200 DM,7,existing credits paid back duly till now,radio/television,2415,< 100 DM,1-4 years,3,male;single,none,2,real estate,34,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 0-200 DM 7 existing credits paid back duly till now radio/television 2415 < 100 DM 1-4 years 3 male;single none 2 real estate 34 none own 1 skilled employee;official 1 No Yes
